recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name
"""CranCrack"" Cranberry Salad",Fruit Salads,Fruit Salads,"[""1 (12 ounce) package fresh cranberries"", ""1 large orange, peeled"", ""2 cups boiling water"", ""1 cup white sugar"", ""1 (6 ounce) package cherry-flavored gelatin mix (such as Jell-O\u00ae)"", ""1 (14 ounce) can crushed pineapple with juice""]","[""Process cranberries and orange in a food processor until finely ground."", ""Stir boiling water, sugar, and gelatin together in a bowl until gelatin and sugar dissolve. Add cranberry mixture and pineapple with juice; stir. Pour into a 8-inch square serving dish, cover the dish with plastic wrap, and refrigerate until set, about 45 minutes.""]",6,2,crancrack cranberry salad
'Something Different' Fruit Salad,Fruit Salads,Watermelon Salad,"[""\u00bc cup fresh lime juice"", ""3 tablespoons honey"", ""2 teaspoons salt"", ""\u00bd teaspoon ground cayenne pepper (Optional)"", ""1 pound fresh strawberries, hulled and quartered lengthwise"", ""3 cups cubed seedless watermelon"", ""1 fresh pineapple - peeled, cored and cut into 1 inch chunks""]","[""Stir together the lime juice, honey, salt, and cayenne pepper in the bottom of a large salad bowl."", ""Toss the strawberries, watermelon, and pineapple with the dressing. Chill the fruit salad until ready to serve.""]",7,2,something different fruit salad
10-Minute Tomato Basil Salad,Paleo,Paleo Salads,"[""1 large tomato, cut into wedges"", ""1 tablespoon chopped fresh basil"", ""1 tablespoon extra-virgin olive oil"", ""1 \u00bd teaspoons red wine vinegar, or to taste"", ""1 pinch salt and ground black pepper, or to taste (Optional)""]","[""Combine tomato, basil, olive oil, red wine vinegar, salt, and black pepper in a large bowl; toss until evenly coated.""]",5,1,10 minute tomato basil salad
"100% Fruit ""Cake""",Fruit Salads,Watermelon Salad,"[""1 seedless watermelon"", ""2 cups strawberries, hulled and sliced"", ""1 cantaloupe - seeded, peeled, and sliced (Optional)"", ""1 fresh pineapple - peeled, cored, and sliced (Optional)""]","[""To create the base tier of the cake, cut 3 slices of watermelon, 1 to 2 inches thick, crossways through the center of the melon. Trim the rind from the watermelon slices, and place the largest slice onto a cake plate. Alternate layering sliced strawberries, slices of cantaloupe, and slices of fresh pineapple; follow with the second-largest watermelon slice. Repeat once more to make a layered fruit stack that looks like a cake."", ""Thinly slice a few pieces of remaining melon and pineapple. With cookie cutters or a sharp knife, cut remaining fruit slices into decorative shapes. Decorate the cake tiers with the cut fruit shapes and remaining berries."", ""Refrigerate until serving time. To serve, slice the cake with a sharp knife, one wedge at a time, and set the wedge onto a plate.""]",4,3,100 fruit cake
12-Second Coleslaw,Chef John,Chef John'S Salads,"[""1 (10 ounce) package angel hair-style shredded cabbage"", ""2 tablespoons Thousand Island dressing"", ""2 tablespoons seasoned rice vinegar"", ""1 teaspoon hot sauce"", ""1 pinch salt""]","[""Stir together cabbage, Thousand Island dressing, rice vinegar, hot sauce, and salt in a large bowl with a fork until evenly mixed.""]",5,1,12 second coleslaw
20 Second Salad,Coleslaws,Vinegar Coleslaw,"[""1 cup vegetable oil"", ""\u00bd cup white sugar"", ""\u00bd cup vinegar"", ""2 tablespoons grated onion"", ""2 teaspoons dry mustard powder"", ""1 teaspoon salt"", ""2 (16 ounce) packages coleslaw mix"", ""2 (10 ounce) packages frozen green peas, thawed"", ""1 cup dry-roasted peanuts"", ""2 tablespoons poppy seeds""]","[""Whisk vegetable oil, sugar, vinegar, grated onion, dry mustard, and salt in a bowl, stirring until sugar has dissolved."", ""Toss coleslaw mix, peas, peanuts, and poppy seeds together in a large salad bowl until thoroughly combined; pour dressing over coleslaw and stir to coat. Let stand 10 minutes before serving.""]",10,2,20 second salad
4th of July Fruit Salad,Fruit Salads,Watermelon Salad,"[""\u00bd (3 pound) cantaloupe, peeled, seeded, and cubed"", ""\u00bc (4 pound) watermelon, peeled and cubed"", ""\u00bc cup fresh blueberries"", ""\u00bc cup quartered fresh strawberries""]","[""Combine cantaloupe, watermelon, blueberries, and strawberries in a large bowl; stir well.""]",4,1,4th of july fruit salad
5 Cup Salad,Fruit Salads,Fruit Salads,"[""1 cup mini marshmallows"", ""1 cup shredded coconut"", ""1 cup drained mandarin oranges"", ""1 cup drained pineapple chunks"", ""1 cup sour cream""]","[""Mix marshmallows, coconut, oranges, pineapple, and sour cream together in a bowl. Cover and refrigerate until flavors blend, 5 to 6 hours.""]",5,1,5 cup salad
A Great Greek Pasta Salad,Pasta Salads,Macaroni Salad,"[""\u00bd cup olive oil"", ""\u00bd cup red wine vinegar"", ""1 \u00bd teaspoons garlic powder"", ""1 \u00bd teaspoons dried basil"", ""1 \u00bd teaspoons dried oregano"", ""\u00be teaspoon ground black pepper"", ""\u00be teaspoon white sugar"", ""2 \u00bd cups cooked elbow macaroni"", ""3 cups fresh sliced mushrooms"", ""15 cherry tomatoes, halved"", ""1 cup sliced red bell peppers"", ""\u00be cup crumbled feta cheese"", ""\u00bd cup chopped green onions"", ""1 (4 ounce) can whole black olives"", ""\u00be cup sliced pepperoni sausage, cut into strips (Optional)""]","[""Gather all ingredients."", ""Whisk olive oil, vinegar, garlic powder, basil, oregano, black pepper, and sugar together in a large bowl."", ""Add cooked pasta, mushrooms, tomatoes, red peppers, feta cheese, green onions, olives, and pepperoni. Toss until evenly coated."", ""Cover, and chill 2 hours or overnight."", ""Serve and enjoy!""]",15,5,a great greek pasta salad
Acini di Pepe Salad,July 4Th,4Th Of July Side Dishes,"[""1 cup acini di pepe pasta"", ""1 (20 ounce) can crushed pineapple, drained with juice reserved"", ""1 (15 ounce) can mandarin oranges, drained with liquid reserved"", ""1 cup white sugar"", ""2 large eggs, beaten"", ""3 tablespoons all-purpose flour"", ""\u00bd teaspoon salt"", ""1 (8 ounce) container frozen whipped topping, thawed"", ""7 ounces miniature marshmallows"", ""1 (10 ounce) jar maraschino cherries, drained (Optional)""]","[""Bring a large pot of lightly salted water to a boil. Cook pasta in boiling water until tender yet firm to the bite, 8 to 10 minutes. Drain and set aside."", ""Combine reserved liquids from pineapple and oranges (about 1 1/2 cups), sugar, beaten eggs, flour, and salt in a medium saucepan over medium heat. Cook until thick, stirring constantly. Mix in cooked pasta. Refrigerate for 8 hours to overnight."", ""Transfer chilled pasta mixture to a large serving bowl. Stir in pineapple, oranges, whipped topping, and marshmallows. Top with cherries. Keep salad chilled in the refrigerator until serving time.""]",10,3,acini di pepe salad
