step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook cracks an egg into a small bowl.,3.6347,0.9466,cacio e uova,0.2561,0.015948,0.017092,0.026168,0.013905,0.025147,0.011711,0.01506,0.011822,0.016627,0.021933,0.195139,0.01924,0.020832,0.016292,0.014324,0.00483,0.006927,0.005633,0.010123,0.012016,0.01682,0.011871,0.009363,4.1e-05,9e-05,0.145397,0.070835,0.008712,0.256101
3,observation,A cook grates pecorino into a mixing bowl.,2.462,1.1727,cacio e uova,0.394,0.000481,0.003366,0.007062,0.002713,0.027638,0.000376,0.004476,0.001002,0.000647,0.008704,0.286744,0.000704,0.00062,0.002869,0.000485,0.002842,0.002823,0.002068,0.003641,0.003681,0.003102,0.000388,0.002871,6.7e-05,0.000136,0.065247,0.132923,0.038317,0.394006
3,answer,A cook drops pasta into salted boiling water.,2.2196,0.2425,cacio e uova,0.4781,0.001412,0.0043,0.007789,0.00322,0.004217,0.000877,0.007127,0.002709,0.00349,0.018157,0.290801,0.002548,0.001164,0.005398,0.000971,0.001628,0.004557,0.004159,0.005027,0.007627,0.004358,0.000827,0.001088,4.8e-05,2.4e-05,0.009117,0.117275,0.011973,0.47811
4,observation,A cook slices pancetta on a cutting board.,2.444,-0.2244,carbonara,0.3616,0.001504,0.005328,0.007348,0.003285,0.010832,0.000963,0.008822,0.001479,0.001922,0.022069,0.361641,0.001447,0.001229,0.006614,0.001065,0.00244,0.001709,0.00159,0.005579,0.003027,0.004547,0.001255,0.002012,8.7e-05,5.6e-05,0.020909,0.167433,0.027014,0.326794
4,answer,A cook pours the egg mixture over the pasta.,2.0313,0.4127,cacio e uova,0.3997,0.000985,0.002997,0.003295,0.001815,0.005548,0.000624,0.004863,0.001058,0.001457,0.004084,0.384096,0.001089,0.000727,0.003494,0.000625,0.001493,0.000878,0.000889,0.002763,0.001852,0.002131,0.000786,0.001254,5.1e-05,1.7e-05,0.015027,0.139873,0.016502,0.399728
5,observation,A cook fries pancetta in a skillet.,2.3933,-0.362,carbonara,0.4562,0.00156,0.00388,0.004923,0.004331,0.011703,0.001584,0.006768,0.001913,0.002754,0.012427,0.456223,0.002116,0.001813,0.006342,0.001699,0.003048,0.000905,0.000916,0.00584,0.003582,0.003131,0.001817,0.002331,0.000111,4.5e-05,0.028042,0.185178,0.029686,0.215332
6,observation,A cook stirs pasta in a pot of boiling water.,2.361,0.0323,carbonara,0.5621,0.00245,0.005744,0.006392,0.005454,0.0138,0.002159,0.007687,0.002332,0.003898,0.019465,0.562073,0.003047,0.002438,0.009495,0.002118,0.00184,0.00138,0.001242,0.007199,0.004087,0.003808,0.002232,0.002858,0.000149,4.9e-05,0.028941,0.161478,0.045852,0.090333
7,observation,A cook pours pasta into a pot of boiling water.,2.8199,-0.4588,carbonara,0.3933,0.002533,0.005495,0.006004,0.005114,0.022336,0.002204,0.008088,0.004426,0.004862,0.01933,0.393274,0.006052,0.004333,0.009592,0.003759,0.003228,0.002512,0.002185,0.011767,0.007652,0.006259,0.003933,0.005006,0.000239,7.4e-05,0.044541,0.236402,0.04075,0.138052
8,observation,A cook stirs the pasta in the skillet.,2.6557,0.1642,carbonara,0.4821,0.002547,0.004958,0.005725,0.005147,0.010817,0.002234,0.007795,0.004305,0.005195,0.027377,0.482075,0.00613,0.004217,0.010452,0.003919,0.002621,0.002063,0.001793,0.007587,0.007165,0.005216,0.003244,0.004214,0.000209,4.4e-05,0.037814,0.184768,0.057525,0.102842
9,observation,A cook stirs pasta in a skillet with tongs.,2.548,0.1077,carbonara,0.5239,0.002917,0.005327,0.003895,0.005667,0.011024,0.002547,0.008821,0.004872,0.006352,0.033612,0.523916,0.007141,0.004391,0.007413,0.00438,0.001831,0.001382,0.001205,0.008396,0.00787,0.00332,0.002165,0.002779,0.00022,5.1e-05,0.03651,0.174554,0.070804,0.056639
