step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_yes,A cook pours cream into the skillet.,3.3318,1.2495,alfredo pasta,0.2912,0.004504,0.008964,0.022808,0.018427,0.022347,0.006068,0.015519,0.019345,0.023087,0.010231,0.011063,0.291166,0.114982,0.224677,0.110183,0.003306,0.00486,0.003652,0.006026,0.01629,0.014564,0.00834,0.006205,0.000193,1.1e-05,0.010718,0.009134,0.008103,0.005226
2,observation,A cook cracks an egg into a small bowl.,3.7911,-0.4593,carbonara,0.1996,0.021146,0.022463,0.007073,0.005341,0.006533,0.004118,0.029987,0.005447,0.037576,0.031001,0.199633,0.037311,0.022674,0.030843,0.021659,0.007429,0.009619,0.007866,0.00362,0.027626,0.004291,0.019185,0.014384,0.000355,0.000127,0.138564,0.079116,0.015566,0.189445
2,answer_yes,A cook grates pecorino into the mixing bowl.,2.7489,1.0422,cacio e uova,0.3151,0.001419,0.005603,0.004307,0.002326,0.011594,0.000513,0.009725,0.001308,0.002781,0.021366,0.306783,0.003821,0.002287,0.010682,0.002261,0.004697,0.004704,0.003513,0.002387,0.008734,0.001887,0.001358,0.005043,0.00021,0.000179,0.070949,0.140601,0.053892,0.315069
3,observation,A cook grates pecorino into a mixing bowl.,2.659,0.09,cacio e uova,0.3143,0.001077,0.003097,0.003742,0.001821,0.014365,0.000529,0.005771,0.001726,0.002056,0.034737,0.305867,0.003574,0.00219,0.006984,0.002134,0.003011,0.001206,0.002134,0.002001,0.004917,0.001429,0.001035,0.002912,0.000186,0.000187,0.054096,0.155596,0.067295,0.314326
4,observation,A cook slices pancetta on a cutting board.,2.2998,0.3592,carbonara,0.4751,0.001289,0.00199,0.002052,0.00108,0.01315,0.000651,0.003971,0.001114,0.00131,0.014097,0.475063,0.00221,0.002511,0.009532,0.002253,0.001533,0.000677,0.000522,0.001316,0.001107,0.001881,0.001392,0.002082,0.000155,0.000132,0.040637,0.254754,0.063754,0.097786
5,observation,A cook fries pancetta in a skillet.,2.2907,0.0091,carbonara,0.4948,0.001263,0.001856,0.002105,0.001545,0.018343,0.000989,0.004082,0.00135,0.001631,0.014161,0.494799,0.002608,0.003162,0.010799,0.0033,0.000998,0.000256,0.000201,0.001916,0.001453,0.001786,0.00172,0.002194,0.000183,5.9e-05,0.049454,0.248555,0.08412,0.045113
6,observation,A cook stirs pasta in a pot of boiling water.,2.1732,0.1175,carbonara,0.5649,0.001747,0.002415,0.002221,0.001597,0.012545,0.001098,0.004113,0.001413,0.002681,0.020073,0.564904,0.003302,0.002902,0.012385,0.002803,0.000712,0.000367,0.000288,0.002085,0.001547,0.001877,0.001876,0.002105,0.000108,2.8e-05,0.035186,0.191077,0.093917,0.032624
7,observation,A cook pours pasta into a pot of boiling water.,2.5793,-0.4061,carbonara,0.4218,0.001939,0.0026,0.00238,0.001737,0.020313,0.001233,0.00479,0.003077,0.003833,0.020158,0.4218,0.007137,0.005265,0.012882,0.005077,0.001533,0.000803,0.000641,0.003921,0.003458,0.00336,0.003404,0.004101,0.000188,5e-05,0.05171,0.278978,0.077189,0.056445
