step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto
0,initial,,4.6439,0.0,pomodoro pasta,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
1,observation,A cook pours water into a large pot.,4.3226,0.3213,amatriciana pasta,0.0941,0.046886,0.049895,0.089807,0.046967,0.09406,0.01383,0.057803,0.029142,0.032779,0.04599,0.053435,0.037957,0.064815,0.060085,0.039788,0.007647,0.027332,0.022859,0.014434,0.020231,0.083837,0.031255,0.028505,0.000582,7.9e-05
1,answer,I am grating pecorino into the mixing bowl.,3.4017,0.9209,cacio e pepe,0.2616,0.011854,0.01718,0.024197,0.013019,0.165712,0.00481,0.018277,0.036807,0.031423,0.261598,0.226815,0.031765,0.015013,0.014207,0.011705,0.013116,0.01565,0.012627,0.013828,0.0223,0.018098,0.008802,0.010224,0.000708,0.000263
2,observation,A cook cracks an egg into a small white cup.,2.3833,1.0184,cacio e pepe,0.5301,0.005441,0.007115,0.050032,0.004693,0.032448,0.00416,0.006175,0.071173,0.009251,0.530121,0.212087,0.00933,0.006481,0.005495,0.005257,0.004403,0.005045,0.004266,0.004709,0.007069,0.006152,0.003556,0.003916,0.000732,0.000895
3,observation,A cook grates pecorino into the mixing bowl.,2.1753,0.208,carbonara,0.5655,0.001673,0.007107,0.041089,0.005056,0.073613,0.001317,0.008786,0.018081,0.002909,0.213502,0.56548,0.002838,0.002079,0.001689,0.001726,0.007559,0.007208,0.006022,0.008003,0.008425,0.006235,0.001273,0.00586,0.00085,0.00162
3,answer,I am dicing pancetta on a cutting board.,1.419,0.7562,carbonara,0.7784,0.00185,0.002917,0.011713,0.002169,0.04484,0.001404,0.009557,0.010162,0.002438,0.097527,0.778429,0.002381,0.002225,0.002296,0.001831,0.004403,0.001889,0.00161,0.003218,0.005115,0.006348,0.001732,0.00256,0.000398,0.000989
4,observation,A cook slices pancetta on a cutting board.,1.1913,0.2278,carbonara,0.828,0.002307,0.004216,0.011879,0.002654,0.070157,0.001788,0.005986,0.002531,0.000874,0.036117,0.827976,0.000801,0.002562,0.003242,0.002197,0.002529,0.001149,0.000988,0.004288,0.001382,0.007015,0.002232,0.003909,0.000602,0.000618
5,observation,A cook fries pancetta in a hot pan.,1.2436,-0.0523,carbonara,0.8173,0.00249,0.00424,0.010435,0.003616,0.080204,0.002436,0.005801,0.002955,0.001313,0.033072,0.817341,0.001222,0.003153,0.004732,0.00321,0.001004,0.00088,0.000756,0.005231,0.001767,0.006216,0.003061,0.00393,0.000668,0.000266
6,observation,A cook stirs the pasta in the pot.,0.913,0.3305,carbonara,0.882,0.001967,0.003198,0.006289,0.002675,0.030088,0.001802,0.003844,0.002199,0.001358,0.037515,0.881995,0.001258,0.002048,0.005845,0.001949,0.000746,0.000642,0.000556,0.00409,0.00139,0.004021,0.001958,0.002266,0.000243,5.9e-05
7,observation,A cook drains pasta over the sink.,1.3537,-0.4407,carbonara,0.8055,0.003362,0.004629,0.009018,0.003886,0.06503,0.002814,0.005534,0.003413,0.002544,0.045694,0.805542,0.002216,0.00324,0.009008,0.00304,0.002316,0.001169,0.001097,0.010834,0.002546,0.006049,0.003241,0.003512,0.000212,5.4e-05
8,observation,A cook drains pasta over the sink.,1.5978,-0.2441,carbonara,0.7661,0.004566,0.00614,0.011327,0.005108,0.069975,0.003738,0.007393,0.004572,0.003883,0.052404,0.766089,0.00332,0.004439,0.01211,0.00406,0.003176,0.001658,0.001547,0.013776,0.003566,0.007845,0.004394,0.004709,0.000161,4.4e-05
9,observation,A cook stirs the pasta in the skillet.,1.4329,0.1649,carbonara,0.7991,0.004005,0.005097,0.010546,0.005188,0.033081,0.003401,0.007551,0.004715,0.004595,0.066807,0.799137,0.003918,0.004137,0.012589,0.003937,0.00263,0.001333,0.001242,0.008649,0.003758,0.006363,0.003445,0.003754,9.5e-05,2.7e-05
