step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook melts butter in a pan on the stove.,3.9418,0.6395,butter parmesan pasta,0.1926,0.017804,0.01805,0.024405,0.015333,0.040716,0.012575,0.016074,0.058443,0.192593,0.009978,0.017562,0.16329,0.025257,0.105994,0.066067,0.004354,0.005991,0.004543,0.01207,0.083698,0.017802,0.01464,0.012077,4.1e-05,2e-06,0.025007,0.015209,0.013929,0.006497
3,observation,A cook pours milk into a skillet.,3.0724,0.8694,alfredo pasta,0.3224,0.003594,0.003621,0.005853,0.004845,0.007714,0.003086,0.004342,0.087173,0.023138,0.017424,0.00412,0.322435,0.065134,0.227871,0.131978,0.006229,0.008499,0.006534,0.022674,0.011382,0.004152,0.002975,0.002648,0.000377,1.1e-05,0.005317,0.003936,0.003317,0.00962
4,observation,A cook stirs the mixture in the skillet.,3.5539,-0.4815,alfredo pasta,0.2584,0.005816,0.00828,0.021705,0.015561,0.019415,0.00691,0.006835,0.015651,0.02567,0.026854,0.01071,0.258353,0.100704,0.183077,0.139276,0.008466,0.007164,0.006978,0.05317,0.016099,0.01312,0.006269,0.004679,0.000767,7e-05,0.010393,0.006654,0.007835,0.013519
5,observation,A cook adds spaghetti to boiling water in a pot.,3.6843,-0.1304,alfredo pasta,0.2878,0.008581,0.011084,0.024207,0.01748,0.008308,0.010526,0.010378,0.024753,0.048164,0.011632,0.005148,0.287782,0.080166,0.148705,0.107319,0.01318,0.014655,0.011324,0.048811,0.029105,0.016116,0.008224,0.00651,0.000853,8.4e-05,0.010377,0.009048,0.004602,0.022877
6,observation,A cook pours water into a large pot.,3.9567,-0.2725,alfredo pasta,0.2416,0.011467,0.014026,0.030136,0.021576,0.012028,0.013458,0.013576,0.028655,0.055775,0.015578,0.007733,0.241589,0.078536,0.132523,0.095387,0.015507,0.017058,0.013755,0.048188,0.033837,0.02056,0.011015,0.008666,0.001445,0.000141,0.012672,0.011743,0.007191,0.026175
7,observation,A cook transfers pasta from a bowl to a skillet using tongs.,3.8308,0.126,alfredo pasta,0.2678,0.008443,0.010479,0.021168,0.015061,0.009743,0.009651,0.019546,0.037126,0.083883,0.022002,0.011423,0.267818,0.046821,0.151096,0.076961,0.012404,0.013083,0.010636,0.030212,0.047457,0.014629,0.008119,0.006316,0.001087,0.00016,0.009256,0.015628,0.010621,0.029172
8,observation,A cook sprinkles grated cheese over pasta in a skillet.,3.6456,0.1852,alfredo pasta,0.3289,0.006885,0.008825,0.016345,0.012033,0.010293,0.007788,0.019215,0.054938,0.113067,0.022243,0.011539,0.328939,0.032113,0.103457,0.051437,0.017339,0.009431,0.007751,0.01505,0.065225,0.011404,0.006425,0.005731,0.000805,8.8e-05,0.008842,0.013441,0.012132,0.027221
9,observation,A cook tosses pasta in a skillet to coat it evenly.,3.6595,-0.0139,alfredo pasta,0.3592,0.01067,0.011535,0.021105,0.017546,0.006624,0.011677,0.012149,0.032367,0.078895,0.028029,0.017006,0.359164,0.038222,0.106297,0.049009,0.009789,0.00937,0.007707,0.02074,0.038046,0.013066,0.007888,0.00666,0.000479,0.000105,0.012313,0.016178,0.019865,0.037501
