step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer,A cook pours cream in the skillet.,3.3159,1.2655,alfredo pasta,0.2868,0.004477,0.008823,0.021446,0.016704,0.021645,0.005885,0.014769,0.018055,0.024647,0.009887,0.011058,0.286821,0.117139,0.229956,0.112411,0.003182,0.004612,0.003471,0.006384,0.017349,0.013337,0.008444,0.006093,0.000184,1e-05,0.011205,0.00881,0.008128,0.005066
2,observation,A cook melts butter in a pan on the stove.,3.8676,-0.5517,butter parmesan pasta,0.2293,0.023113,0.023415,0.006176,0.00503,0.008277,0.003471,0.031553,0.100613,0.229268,0.016466,0.025511,0.108312,0.021633,0.088794,0.046795,0.006597,0.008482,0.006518,0.003842,0.106148,0.004047,0.021143,0.017018,0.000369,1.1e-05,0.036289,0.021385,0.020558,0.009163
2,answer,A cook puts the pasta in the cream sauce.,3.4479,0.4197,alfredo pasta,0.2693,0.014351,0.016076,0.004524,0.004134,0.005178,0.004002,0.017923,0.075578,0.206053,0.013867,0.017698,0.269279,0.015462,0.130413,0.027526,0.007479,0.00707,0.006947,0.003118,0.075926,0.002857,0.009161,0.00751,0.000229,1.3e-05,0.011965,0.012642,0.021886,0.011132
3,observation,A cook pours milk into a skillet.,3.5863,-0.1384,alfredo pasta,0.286,0.015446,0.016788,0.006989,0.006458,0.007704,0.006003,0.019457,0.064409,0.152564,0.015001,0.01866,0.285956,0.022852,0.146816,0.036622,0.008611,0.008055,0.007923,0.00479,0.061728,0.004801,0.01041,0.00862,0.000451,2.5e-05,0.013198,0.014505,0.022359,0.012799
4,observation,A cook stirs the mixture in the skillet.,3.7609,-0.1747,alfredo pasta,0.2971,0.015919,0.022259,0.01659,0.01393,0.01525,0.008409,0.018956,0.021789,0.108373,0.019512,0.025361,0.297099,0.035106,0.13951,0.050247,0.010142,0.006036,0.00627,0.011801,0.054791,0.009921,0.01218,0.009058,0.000671,5.4e-05,0.014614,0.016872,0.024202,0.01508
5,observation,A cook adds spaghetti to boiling water in a pot.,3.765,-0.004,alfredo pasta,0.2913,0.016765,0.022742,0.019215,0.015782,0.00868,0.010173,0.020288,0.024036,0.112533,0.010713,0.012893,0.291281,0.037902,0.140349,0.055395,0.011217,0.011301,0.008902,0.0136,0.058473,0.011902,0.013136,0.010342,0.000881,8e-05,0.014969,0.017446,0.012331,0.016671
6,observation,A cook pours water into a large pot.,3.914,-0.1491,alfredo pasta,0.2641,0.018346,0.023675,0.022146,0.017721,0.010757,0.011646,0.021612,0.026213,0.111829,0.012984,0.014795,0.264125,0.039492,0.130736,0.054125,0.012891,0.012729,0.010414,0.015279,0.058559,0.014098,0.014819,0.011572,0.001174,0.000105,0.015881,0.018828,0.014739,0.018709
7,observation,A cook transfers pasta from a bowl to a skillet using tongs.,3.6848,0.2293,alfredo pasta,0.2869,0.012046,0.015619,0.015156,0.01197,0.00795,0.008034,0.024455,0.02965,0.138691,0.01617,0.017224,0.286928,0.02609,0.144815,0.043094,0.009358,0.009372,0.007707,0.010799,0.068452,0.009785,0.009845,0.007601,0.000833,0.000109,0.010287,0.020915,0.01716,0.019883
8,observation,A cook sprinkles grated cheese over pasta in a skillet.,3.5724,0.1124,alfredo pasta,0.3129,0.010089,0.013365,0.013001,0.010487,0.008532,0.007078,0.024503,0.039131,0.154974,0.016292,0.015806,0.312889,0.02163,0.119286,0.035305,0.011465,0.007732,0.006418,0.007132,0.077486,0.008487,0.008121,0.006891,0.000694,7.3e-05,0.01023,0.017665,0.01721,0.018027
9,observation,A cook tosses pasta in a skillet to coat it evenly.,3.6662,-0.0938,alfredo pasta,0.3313,0.014239,0.016184,0.016933,0.014765,0.006403,0.010139,0.01736,0.027754,0.109068,0.021411,0.02256,0.331313,0.026137,0.127919,0.037964,0.007928,0.008089,0.00671,0.010527,0.05172,0.010223,0.009556,0.008077,0.000488,9e-05,0.01425,0.019996,0.026312,0.025884
