step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices meat into cubes on a cutting board.,4.3474,0.2339,arrabbiata pasta,0.0874,0.044941,0.081521,0.08736,0.05146,0.06542,0.027223,0.087018,0.007626,0.011813,0.006604,0.037381,0.013622,0.050511,0.070829,0.034879,0.002927,0.005348,0.004139,0.028984,0.008601,0.072544,0.041703,0.056979,9.8e-05,6.6e-05,0.031775,0.035641,0.027022,0.005966
3,observation,A cook adjusts a gas stove knob to ignite the burner.,3.7023,0.6451,amatriciana pasta,0.17,0.012321,0.019243,0.020321,0.013384,0.16998,0.008384,0.155061,0.003387,0.004843,0.003313,0.010568,0.034733,0.013518,0.12697,0.068081,0.001629,0.002528,0.002049,0.008845,0.003737,0.017553,0.083125,0.10739,0.000279,9e-05,0.08758,0.010176,0.008166,0.002745
4,observation,A cook stirs pancetta in a skillet with a wooden spoon.,3.816,-0.1137,amatriciana pasta,0.2208,0.010393,0.020283,0.026985,0.023926,0.22077,0.010182,0.087791,0.005504,0.009018,0.006613,0.035331,0.036398,0.020062,0.092858,0.049337,0.002854,0.002556,0.002386,0.027288,0.006201,0.018893,0.0144,0.015907,0.000517,8.4e-05,0.177386,0.027418,0.045357,0.003301
5,observation,A cook sprinkles red pepper flakes into a pan of sizzling meat.,3.668,0.1479,amatriciana pasta,0.3509,0.012922,0.029001,0.025632,0.028805,0.350896,0.012539,0.071697,0.002734,0.004287,0.007037,0.041499,0.036917,0.009048,0.071454,0.042659,0.003809,0.003233,0.003023,0.035895,0.003048,0.021881,0.016835,0.017642,0.000405,0.000188,0.049589,0.032507,0.057998,0.00682
6,observation,A cook pours sauce over croutons in a skillet.,3.5382,0.1299,amatriciana pasta,0.3764,0.009035,0.01638,0.041771,0.037782,0.376401,0.008153,0.064242,0.004094,0.005551,0.008028,0.037691,0.04744,0.014835,0.070553,0.044495,0.002015,0.003737,0.003493,0.041121,0.003905,0.009535,0.007439,0.007657,0.001029,0.000218,0.048933,0.029258,0.051877,0.003334
7,observation,A cook adds spaghetti to boiling water in a pot.,3.8273,-0.2891,amatriciana pasta,0.3102,0.011577,0.019893,0.043648,0.037947,0.310225,0.011414,0.067207,0.005722,0.009901,0.010818,0.044215,0.056788,0.016912,0.071884,0.044637,0.003176,0.006827,0.00552,0.043458,0.006313,0.012574,0.009708,0.01054,0.000923,0.000184,0.044947,0.034571,0.053177,0.005297
8,observation,A cook stirs the sauce in the skillet.,3.3486,0.4787,amatriciana pasta,0.4207,0.009755,0.016552,0.076273,0.027171,0.420664,0.009542,0.029097,0.003298,0.005707,0.013878,0.048753,0.043047,0.015838,0.07587,0.024969,0.001616,0.003689,0.003005,0.044331,0.003721,0.009114,0.006219,0.005775,0.001703,0.00017,0.023151,0.015708,0.0588,0.002583
9,observation,A cook pours water into a large pot.,3.6218,-0.2732,amatriciana pasta,0.3601,0.01219,0.019683,0.079227,0.029648,0.360107,0.011418,0.031906,0.004584,0.007861,0.016404,0.050625,0.04735,0.018941,0.079205,0.027304,0.003638,0.004915,0.004118,0.046849,0.005054,0.011834,0.007975,0.007415,0.002184,0.000195,0.025182,0.017722,0.060793,0.005674
10,observation,A cook grates pecorino into the mixing bowl.,3.472,0.1498,amatriciana pasta,0.3548,0.008178,0.01303,0.05257,0.018834,0.354819,0.00762,0.02093,0.004272,0.005414,0.03901,0.100273,0.027564,0.012502,0.0432,0.016139,0.003062,0.003449,0.002894,0.030068,0.00357,0.007948,0.005424,0.005177,0.001471,0.000193,0.027217,0.036952,0.135783,0.012437
