step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_no,NO: A cook pours cream into the skillet.,3.569,1.0123,cacio e uova,0.2214,0.009878,0.021842,0.024903,0.014416,0.025313,0.004496,0.014203,0.009844,0.019923,0.016771,0.017362,0.004891,0.005733,0.004038,0.002325,0.118247,0.206299,0.149141,0.004755,0.013274,0.022157,0.014943,0.012459,0.000151,0.000223,0.012663,0.015757,0.012624,0.221369
2,observation,A cook slices meat into cubes on a cutting board.,4.3008,-0.7318,cacio e uova,0.1104,0.044073,0.079946,0.056813,0.033466,0.042545,0.017704,0.05107,0.004187,0.007208,0.005831,0.03408,0.001699,0.009384,0.008836,0.004351,0.054198,0.099019,0.076622,0.018528,0.005248,0.052081,0.041699,0.056974,9.6e-05,0.001213,0.02555,0.032494,0.024636,0.110448
2,answer_no,NO: A cook cracks eggs into a mixing bowl.,4.1837,0.1172,pea pesto pasta,0.1197,0.053262,0.096614,0.068658,0.040444,0.051415,0.021395,0.061718,0.00506,0.008711,0.007046,0.005636,0.002054,0.011341,0.010678,0.005258,0.065498,0.119665,0.092597,0.022391,0.006343,0.06294,0.050393,0.068852,0.000116,0.001466,0.015063,0.014713,0.029772,0.000899
3,observation,A cook adjusts a gas stove knob to ignite the burner.,3.7595,0.4242,amatriciana pasta,0.1641,0.017937,0.028016,0.019619,0.012922,0.164106,0.008094,0.135099,0.002761,0.004387,0.004343,0.001957,0.006432,0.003728,0.023514,0.012608,0.044785,0.069488,0.056316,0.008394,0.003385,0.018707,0.12339,0.159408,0.000406,0.002477,0.051,0.00516,0.011052,0.000508
3,answer_no,NO: A cook heats a skillet over medium heat.,3.9352,-0.1757,garlic oil pasta,0.1701,0.019108,0.029843,0.020527,0.01352,0.055965,0.008469,0.170144,0.00365,0.005219,0.007092,0.00348,0.011436,0.006628,0.041804,0.022415,0.079621,0.123539,0.10012,0.008934,0.004028,0.018833,0.083967,0.108478,0.000432,0.004404,0.028835,0.009174,0.00943,0.000904
4,observation,A cook stirs pancetta in a skillet with a wooden spoon.,4.1195,-0.1843,pesto pasta,0.134,0.015489,0.030227,0.026193,0.023224,0.069847,0.009883,0.092566,0.0057,0.009339,0.013604,0.011178,0.011516,0.009453,0.029378,0.015609,0.134025,0.120009,0.112029,0.026487,0.006422,0.01948,0.013977,0.015441,0.000771,0.00393,0.056122,0.023753,0.093303,0.001044
4,answer_no,NO: A cook cooks peas in the saucepan.,4.0763,0.0432,pesto pasta,0.1526,0.017639,0.034422,0.029829,0.026448,0.079543,0.011255,0.105415,0.006491,0.010635,0.015493,0.01273,0.013114,0.010765,0.033456,0.017776,0.152628,0.000921,0.12758,0.030164,0.004252,0.022184,0.015918,0.017584,0.000878,0.004476,0.063912,0.027051,0.106254,0.001189
5,observation,A cook sprinkles red pepper flakes into a pan of sizzling meat.,3.9141,0.1622,pesto pasta,0.1806,0.019445,0.043642,0.025124,0.028234,0.112104,0.01229,0.076338,0.002859,0.004483,0.014618,0.013258,0.011794,0.004305,0.022828,0.013629,0.180617,0.001033,0.143317,0.035183,0.001853,0.022781,0.016501,0.017292,0.000609,0.008927,0.015843,0.028438,0.120474,0.002179
