step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer,A cook dices the pancetta.,3.3879,1.1934,amatriciana pasta,0.2313,0.010368,0.009522,0.012223,0.009443,0.231256,0.003869,0.016428,0.006818,0.012116,0.006045,0.104747,0.011556,0.012401,0.010761,0.011238,0.004193,0.004193,0.00381,0.016402,0.007089,0.010966,0.006618,0.009967,3.1e-05,0.000108,0.168013,0.100019,0.195704,0.004098
2,observation,A cook grates pecorino into the mixing bowl.,1.935,1.4529,gricia,0.5637,0.000575,0.003785,0.006789,0.003662,0.21687,0.000263,0.001024,0.000772,0.00066,0.00419,0.027639,0.00064,0.000662,0.000593,0.000643,0.000523,0.000436,0.000336,0.006456,0.000495,0.000602,0.000403,0.003849,9.1e-05,4.6e-05,0.126586,0.024945,0.563741,0.002724
3,observation,A cook slices meat into cubes on a cutting board.,3.0339,-1.0988,gricia,0.306,0.006047,0.008521,0.012366,0.007254,0.144012,0.00441,0.003587,0.00382,0.003398,0.016273,0.169081,0.003313,0.006896,0.007028,0.006686,0.002301,0.002288,0.001783,0.008346,0.000804,0.007807,0.005283,0.008575,0.000411,0.000262,0.090812,0.159339,0.305963,0.003335
3,answer,A cook heats it.,3.1781,-0.1442,gricia,0.24,0.003113,0.01124,0.017889,0.009554,0.209428,0.006845,0.005754,0.001965,0.001887,0.007437,0.134268,0.005951,0.009862,0.011713,0.010349,0.001461,0.001157,0.000909,0.011169,0.000597,0.011265,0.009434,0.013786,0.000356,0.000178,0.128168,0.13252,0.239957,0.001789
4,observation,A cook adjusts a gas stove knob to ignite the burner.,3.1818,-0.0038,amatriciana pasta,0.3325,0.002936,0.008364,0.012612,0.007143,0.332503,0.005321,0.011512,0.003994,0.003938,0.013946,0.072631,0.010575,0.007468,0.019099,0.017016,0.003036,0.002409,0.001892,0.008298,0.001501,0.008371,0.01571,0.022676,0.000824,0.000365,0.206701,0.071772,0.123267,0.004122
5,observation,A cook stirs pancetta in a skillet with a wooden spoon.,3.1666,0.0152,amatriciana pasta,0.2787,0.002572,0.007504,0.012036,0.009033,0.278708,0.004524,0.009539,0.003689,0.004032,0.016947,0.110672,0.009504,0.007848,0.018049,0.012201,0.002395,0.001671,0.001342,0.011633,0.001586,0.007526,0.006206,0.007254,0.000734,0.000216,0.184245,0.085896,0.178753,0.003684
5,answer,A cook pours tomato sauce into skillet.,2.6661,0.5005,amatriciana pasta,0.5692,0.006839,0.016965,0.030614,0.019042,0.569247,0.010016,0.006653,0.003993,0.004885,0.010441,0.048738,0.011873,0.010298,0.017098,0.011417,0.00143,0.001837,0.001467,0.01372,0.001025,0.004155,0.003393,0.003927,0.002186,0.00023,0.074518,0.037736,0.074028,0.00223
6,observation,A cook sprinkles red pepper flakes into a pan of sizzling meat.,2.9757,-0.3096,amatriciana pasta,0.4922,0.009126,0.02344,0.036853,0.014119,0.492238,0.012308,0.017074,0.003103,0.003784,0.01167,0.059731,0.014804,0.013416,0.011797,0.00831,0.001955,0.00232,0.001858,0.017953,0.001465,0.005577,0.004551,0.005101,0.001832,0.000349,0.084461,0.046493,0.090088,0.004226
