step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices garlic cloves on a cutting board.,3.7206,0.8608,garlic oil pasta,0.1803,0.02816,0.130522,0.13396,0.071501,0.02196,0.014499,0.180296,0.005603,0.0048,0.002576,0.010928,0.005354,0.027362,0.025737,0.017168,0.001326,0.001872,0.001465,0.010815,0.00338,0.106667,0.071871,0.091254,5.5e-05,3.1e-05,0.009777,0.01137,0.008241,0.001451
3,observation,A cook pours olive oil into a pan on the stove.,3.2368,0.4838,garlic oil pasta,0.1938,0.004803,0.147142,0.134655,0.144782,0.010295,0.024997,0.193846,0.000569,0.000555,0.000342,0.000885,0.000578,0.040551,0.001662,0.001199,0.00018,0.000199,0.000163,0.0223,0.000366,0.092304,0.082344,0.092508,0.000105,3.1e-05,0.000746,0.000877,0.000819,0.000196
4,observation,A cook sprinkles spices into a frying pan.,3.1524,0.0844,garlic oil pasta,0.2737,0.007588,0.115289,0.156842,0.126693,0.003208,0.022422,0.273727,0.001108,0.001004,0.001099,0.001441,0.0012,0.035508,0.002252,0.002385,0.000493,0.000332,0.000275,0.021267,0.000672,0.074118,0.088429,0.057445,0.000359,7.7e-05,0.001346,0.001416,0.001466,0.000538
5,observation,A cook adds garlic to the skillet and stirs it in.,3.0713,0.0811,arrabbiata pasta,0.2333,0.006175,0.134546,0.233291,0.232353,0.003479,0.017482,0.075519,0.001101,0.000983,0.001333,0.001717,0.001314,0.025738,0.0023,0.003549,0.000512,0.000345,0.000308,0.016183,0.000763,0.1198,0.034402,0.081264,0.000473,8.4e-05,0.00157,0.001436,0.001775,0.000207
6,observation,A cook pours sauce into a skillet containing spices and garlic.,2.9732,0.098,arrabbiata pasta,0.2863,0.010264,0.154082,0.286334,0.228121,0.002942,0.021997,0.068488,0.001436,0.001442,0.000691,0.000832,0.002672,0.031595,0.001207,0.001437,0.000271,0.000532,0.000478,0.019314,0.00042,0.081662,0.028153,0.052179,0.001027,7.9e-05,0.00067,0.000674,0.000873,0.000131
7,observation,A cook adds spaghetti to boiling water in a pot.,3.1835,-0.2103,arrabbiata pasta,0.2467,0.013282,0.151823,0.246678,0.204043,0.00443,0.024694,0.079385,0.002197,0.002739,0.001214,0.001495,0.004436,0.033795,0.002096,0.002241,0.00054,0.0012,0.000961,0.022987,0.000812,0.093877,0.034741,0.064939,0.001166,9.1e-05,0.000996,0.001217,0.001609,0.000317
8,observation,A cook stirs tomato sauce in a skillet on the counter.,3.3513,-0.1677,arrabbiata pasta,0.2389,0.017433,0.151463,0.238932,0.199025,0.007163,0.029494,0.069452,0.002547,0.005929,0.003539,0.004437,0.006311,0.041548,0.005271,0.002708,0.000685,0.001521,0.001226,0.030203,0.001075,0.080236,0.032764,0.054934,0.003404,0.000195,0.001544,0.001819,0.004649,0.000492
9,observation,A cook pours pasta into a colander over the sink.,3.4407,-0.0895,arrabbiata pasta,0.2285,0.020782,0.142775,0.228488,0.186074,0.008839,0.031533,0.077824,0.003503,0.008242,0.002707,0.003686,0.008234,0.043364,0.003962,0.00347,0.001044,0.002031,0.001972,0.033626,0.001605,0.080681,0.038021,0.056403,0.002004,0.00011,0.002045,0.002737,0.003348,0.000887
10,observation,A cook stirs spaghetti in a skillet.,3.5864,-0.1457,puttanesca pasta,0.227,0.029793,0.159101,0.149771,0.22704,0.008072,0.041606,0.1064,0.005626,0.014579,0.006519,0.009321,0.014036,0.033699,0.007742,0.005998,0.000974,0.001773,0.001723,0.034512,0.00301,0.054503,0.02689,0.036977,0.002691,0.000106,0.002361,0.004814,0.009023,0.00134
