step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices garlic cloves on a cutting board.,3.7206,0.8608,garlic oil pasta,0.1803,0.02816,0.130522,0.13396,0.071501,0.021959,0.014499,0.180296,0.005603,0.0048,0.002576,0.010928,0.005354,0.027362,0.025737,0.017168,0.001326,0.001872,0.001465,0.010815,0.00338,0.106667,0.071871,0.091254,5.5e-05,3.1e-05,0.009777,0.01137,0.008241,0.001451
3,observation,A cook pours olive oil into a skillet on the stove.,3.4165,0.3041,garlic oil pasta,0.1955,0.003237,0.09811,0.131908,0.159644,0.010215,0.027186,0.195541,0.003858,0.003043,0.000323,0.000738,0.004074,0.048984,0.012883,0.010065,0.000129,0.000141,0.000114,0.026286,0.001981,0.082387,0.086049,0.086595,7.2e-05,2.4e-05,0.004924,0.000666,0.000687,0.000137
4,observation,A cook sprinkles red pepper flakes into a hot pan.,2.977,0.4395,garlic oil pasta,0.3444,0.00469,0.061016,0.235563,0.089631,0.005128,0.018587,0.344415,0.003156,0.002645,0.001367,0.001309,0.004068,0.034784,0.008827,0.002093,0.000285,0.00024,0.000195,0.021032,0.001847,0.047642,0.056328,0.047431,0.000216,5e-05,0.004519,0.00115,0.001397,0.000389
5,observation,A cook stirs garlic into the skillet.,2.7953,0.1817,arrabbiata pasta,0.403,0.001564,0.030869,0.402968,0.186301,0.005296,0.01438,0.095523,0.000965,0.002001,0.00164,0.001785,0.00331,0.026452,0.002586,0.003006,0.000314,0.000103,9.3e-05,0.017605,0.000577,0.098981,0.028235,0.067634,0.000317,5.6e-05,0.004326,0.001161,0.001774,0.000179
6,observation,A cook pours sauce into a skillet containing spices and garlic.,2.6904,0.1049,arrabbiata pasta,0.4417,0.003184,0.04729,0.441702,0.187407,0.003745,0.018588,0.088548,0.001211,0.002508,0.000816,0.000838,0.005385,0.032573,0.00116,0.001221,0.000187,0.000184,0.000166,0.018631,0.000336,0.070409,0.02444,0.045615,0.00072,5.5e-05,0.00145,0.000549,0.000832,0.000248
7,observation,A cook adds spaghetti to boiling water in a pot.,2.9953,-0.3049,arrabbiata pasta,0.3706,0.004834,0.055617,0.370589,0.171322,0.005586,0.023357,0.101736,0.001886,0.004404,0.001411,0.001485,0.008098,0.035153,0.002041,0.002006,0.000385,0.000519,0.00042,0.022381,0.000711,0.086407,0.032222,0.061497,0.000844,6.5e-05,0.001916,0.001026,0.001529,0.000552
8,observation,A cook stirs tomato sauce in a skillet on the counter.,3.1958,-0.2006,arrabbiata pasta,0.3478,0.007289,0.064525,0.347809,0.172368,0.00874,0.028498,0.087778,0.002237,0.008909,0.003858,0.00403,0.010659,0.042155,0.005057,0.002483,0.000508,0.000742,0.000603,0.029335,0.000965,0.075798,0.030978,0.0529,0.002563,0.000144,0.00265,0.001526,0.004151,0.00074
9,observation,A cook pours pasta into a colander over the sink.,3.3013,-0.1054,arrabbiata pasta,0.3246,0.009321,0.065964,0.324628,0.161917,0.010627,0.030454,0.096866,0.003082,0.011856,0.002902,0.003343,0.013152,0.043923,0.003784,0.003191,0.000782,0.001044,0.001015,0.032584,0.001445,0.076411,0.035945,0.054252,0.001528,8.2e-05,0.003325,0.002307,0.002987,0.001284
10,observation,A cook stirs spaghetti in a skillet.,3.5601,-0.2589,arrabbiata pasta,0.2153,0.014983,0.083258,0.215325,0.207831,0.009917,0.042111,0.136645,0.005148,0.020785,0.007256,0.008846,0.022023,0.034827,0.007592,0.005689,0.000772,0.001012,0.000985,0.033993,0.002697,0.054109,0.02655,0.037092,0.00217,8.3e-05,0.003688,0.004266,0.008425,0.001922
