step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_skipped,[doesnt_apply] doesnt apply,4.5813,0.0,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices garlic cloves on a cutting board.,3.7206,0.8608,garlic oil pasta,0.1803,0.02816,0.130522,0.13396,0.071501,0.021959,0.014499,0.180296,0.005603,0.0048,0.002576,0.010928,0.005354,0.027362,0.025737,0.017168,0.001326,0.001872,0.001465,0.010815,0.00338,0.106667,0.071871,0.091254,5.5e-05,3.1e-05,0.009777,0.01137,0.008241,0.001451
2,answer,A cook heats olive oil.,3.4049,0.3157,arrabbiata pasta,0.156,0.004615,0.13759,0.155968,0.131962,0.007627,0.023898,0.102656,0.001737,0.001691,0.000814,0.002813,0.001801,0.0416,0.007933,0.005685,8.4e-05,0.000101,8.3e-05,0.024487,0.001142,0.116146,0.100727,0.119876,0.000108,2e-05,0.003442,0.002916,0.002388,9.1e-05
3,observation,A cook pours olive oil into a skillet on the stove.,3.4325,-0.0276,puttanesca pasta,0.1659,0.008548,0.107571,0.138175,0.1659,0.007151,0.03326,0.140298,0.002355,0.001973,0.000356,0.000829,0.000745,0.06028,0.007807,0.006087,0.00015,0.000154,0.000125,0.035027,0.001312,0.08844,0.092419,0.095435,0.000431,2.4e-05,0.003471,0.000751,0.000773,0.000151
3,answer,A cook adds chili flakes.,3.0732,0.3593,arrabbiata pasta,0.2794,0.007738,0.068652,0.279435,0.10446,0.005862,0.024685,0.230262,0.000678,0.001352,0.000585,0.00121,0.000761,0.035527,0.001704,0.001983,0.000331,0.000201,0.000174,0.022723,0.00121,0.065691,0.087,0.051934,0.00054,6.3e-05,0.002736,0.001054,0.001152,0.000298
4,observation,A cook sprinkles red pepper flakes into a hot pan.,2.5932,0.4799,arrabbiata pasta,0.3496,0.01021,0.064995,0.349646,0.040788,0.011435,0.011394,0.34252,0.001048,0.000893,0.000826,0.001791,0.001345,0.015956,0.002421,0.001344,0.00029,0.000323,0.00028,0.01102,0.001589,0.024881,0.079151,0.020142,0.000896,6.6e-05,0.001762,0.001563,0.000864,0.000562
4,answer,A cook pours tomato sauce.,2.482,0.1112,arrabbiata pasta,0.5452,0.016844,0.072446,0.545194,0.083288,0.024243,0.025715,0.115044,0.000705,0.000702,0.000605,0.001192,0.001919,0.035389,0.001685,0.000905,0.000268,0.000445,0.000403,0.012706,0.000976,0.011628,0.030598,0.009795,0.003948,9.6e-05,0.001071,0.001073,0.000635,0.000482
5,observation,A cook adds garlic to a pan of chili flakes and stirs it.,2.7578,-0.2758,arrabbiata pasta,0.4565,0.011401,0.073648,0.456535,0.088892,0.01883,0.015375,0.163212,0.001045,0.00101,0.001009,0.001962,0.002764,0.038681,0.002213,0.001417,0.000506,0.000647,0.000578,0.017355,0.001312,0.026514,0.048909,0.017244,0.003024,0.000171,0.001857,0.001797,0.001083,0.001007
