step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices garlic cloves on a cutting board.,3.7206,0.8608,garlic oil pasta,0.1803,0.02816,0.130522,0.13396,0.071501,0.02196,0.014499,0.180296,0.005603,0.0048,0.002576,0.010928,0.005354,0.027362,0.025737,0.017168,0.001326,0.001872,0.001465,0.010815,0.00338,0.106667,0.071871,0.091254,5.5e-05,3.1e-05,0.009777,0.01137,0.008241,0.001451
3,observation,A cook pours olive oil into a pan on the stove.,3.2368,0.4838,garlic oil pasta,0.1938,0.004803,0.147142,0.134655,0.144782,0.010295,0.024997,0.193846,0.000569,0.000555,0.000342,0.000885,0.000578,0.040551,0.001662,0.001199,0.00018,0.000199,0.000163,0.0223,0.000366,0.092304,0.082344,0.092508,0.000105,3.1e-05,0.000746,0.000877,0.000819,0.000196
4,observation,A cook stirs scallops in hot oil on a skillet.,3.3875,-0.1507,shrimp garlic pasta,0.1655,0.009368,0.113509,0.128072,0.124851,0.004165,0.031157,0.138135,0.001108,0.001122,0.000875,0.001924,0.001446,0.05169,0.003411,0.002817,0.000306,0.000327,0.000269,0.033297,0.000746,0.102263,0.16546,0.076788,0.000466,3.9e-05,0.002643,0.001708,0.001622,0.000417
5,observation,A cook pours broth into a skillet with garlic and clams.,3.2505,0.137,clam pasta,0.2056,0.003613,0.095559,0.128263,0.136417,0.001901,0.008427,0.112673,0.002087,0.000679,0.00051,0.002701,0.00084,0.038552,0.00429,0.004548,0.000501,0.000469,0.000414,0.025857,0.000523,0.205586,0.132664,0.085906,0.000697,4.9e-05,0.001338,0.002401,0.002269,0.000264
6,observation,A cook pours white wine into a pan of clams and pasta.,3.2437,0.0068,clam pasta,0.2833,0.005506,0.082317,0.104135,0.114388,0.003025,0.010201,0.104997,0.003104,0.001277,0.000932,0.003845,0.001656,0.038741,0.005947,0.005661,0.000803,0.000786,0.000652,0.024574,0.00098,0.283334,0.122329,0.070045,0.001072,6.2e-05,0.001953,0.00349,0.003638,0.000551
7,observation,A cook adds spaghetti to boiling water in a pot.,3.3963,-0.1527,clam pasta,0.2308,0.008272,0.091341,0.110492,0.111982,0.004197,0.0147,0.122429,0.002429,0.003239,0.001877,0.003064,0.001612,0.04163,0.004705,0.00781,0.001435,0.002047,0.00163,0.031357,0.00103,0.23081,0.110639,0.080882,0.001223,4.6e-05,0.002665,0.00253,0.003261,0.000667
8,observation,A cook stirs mushrooms in a pan on the stove.,3.613,-0.2167,clam pasta,0.2083,0.011195,0.096391,0.109049,0.110435,0.006,0.016724,0.108185,0.003346,0.004456,0.005137,0.008065,0.002736,0.046627,0.013018,0.009464,0.00213,0.00284,0.002208,0.040013,0.00164,0.20826,0.098797,0.073747,0.001933,0.000131,0.004119,0.003697,0.008584,0.001074
9,observation,A cook pours water into a large pot.,3.6745,-0.0615,clam pasta,0.1582,0.01096,0.076139,0.085782,0.086323,0.006072,0.015269,0.152316,0.005891,0.008303,0.005365,0.007895,0.003104,0.03944,0.012954,0.009189,0.003656,0.004902,0.003902,0.033818,0.00314,0.158182,0.14207,0.104685,0.001999,8.5e-05,0.004139,0.003831,0.008514,0.002075
10,observation,A cook stirs spaghetti in a pan of clam sauce.,3.7471,-0.0726,clam pasta,0.1915,0.014666,0.077927,0.081852,0.089126,0.006571,0.017533,0.125807,0.005998,0.009682,0.007207,0.010372,0.004045,0.04177,0.018467,0.00896,0.003431,0.005178,0.004135,0.035657,0.003416,0.191491,0.129256,0.08263,0.002497,8.8e-05,0.004517,0.004076,0.011398,0.002246
