step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_skipped,[doesnt_apply] doesn't apply,4.5813,0.0,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices garlic cloves on a cutting board.,3.7206,0.8608,garlic oil pasta,0.1803,0.02816,0.130522,0.13396,0.071501,0.02196,0.014499,0.180296,0.005603,0.0048,0.002576,0.010928,0.005354,0.027362,0.025737,0.017168,0.001326,0.001872,0.001465,0.010815,0.00338,0.106667,0.071871,0.091254,5.5e-05,3.1e-05,0.009777,0.01137,0.008241,0.001451
2,answer,A cook puts olive oil.,3.3669,0.3537,garlic oil pasta,0.1783,0.004488,0.14108,0.133835,0.132337,0.007359,0.022218,0.178294,0.002318,0.002029,0.001221,0.003617,0.002144,0.036039,0.007608,0.005346,0.000698,0.000153,0.000129,0.01875,0.00141,0.104097,0.085623,0.101539,0.000129,4.4e-05,0.00048,0.003747,0.003145,0.000123
3,observation,A cook pours olive oil into a pan on the stove.,3.2994,0.0674,garlic oil pasta,0.192,0.011117,0.142643,0.129878,0.143221,0.006676,0.029191,0.192042,0.000804,0.000758,0.000478,0.001118,0.00079,0.045781,0.00203,0.001394,0.000258,0.000269,0.000223,0.027019,0.000505,0.089594,0.080259,0.089945,0.000659,5.1e-05,0.000888,0.001108,0.001037,0.000263
3,answer_skipped,[doesnt_apply] doesn't apply,3.2994,0.0,garlic oil pasta,0.192,0.011117,0.142643,0.129878,0.143221,0.006676,0.029191,0.192042,0.000804,0.000758,0.000478,0.001118,0.00079,0.045781,0.00203,0.001394,0.000258,0.000269,0.000223,0.027019,0.000505,0.089594,0.080259,0.089945,0.000659,5.1e-05,0.000888,0.001108,0.001037,0.000263
4,observation,A cook stirs scallops in hot oil on a skillet.,3.4159,-0.1164,shrimp garlic pasta,0.1595,0.014453,0.112473,0.123724,0.123751,0.003843,0.034352,0.142231,0.00112,0.001098,0.000874,0.001771,0.001384,0.055448,0.003046,0.002391,0.000325,0.000328,0.000273,0.03671,0.000738,0.098536,0.159533,0.074463,0.001364,5.6e-05,0.002226,0.001578,0.001501,0.000409
4,answer,A cook stirs it in the skillet.,3.532,-0.1162,arrabbiata pasta,0.1732,0.012874,0.092538,0.173161,0.148477,0.007026,0.030829,0.102307,0.001617,0.001798,0.001913,0.003856,0.003104,0.073391,0.00527,0.004524,0.000505,0.00045,0.000448,0.063753,0.001482,0.109553,0.086766,0.062634,0.001498,8.6e-05,0.003626,0.002475,0.003732,0.000305
5,observation,A cook pours broth into a skillet with garlic and clams.,3.3949,0.1371,arrabbiata pasta,0.181,0.007209,0.090557,0.180979,0.155545,0.004347,0.014629,0.050133,0.002511,0.001292,0.001357,0.002527,0.002136,0.068052,0.00675,0.005992,0.000711,0.000632,0.000629,0.059502,0.001072,0.174565,0.09192,0.066518,0.001866,0.000108,0.002355,0.003172,0.002449,0.000485
