recipe,condition,correct,predicted,final_rank,first_top_window,final_entropy,ig_total,n_questions,ig_q,mean_ig_q_per_turn
alfredo pasta,obs_only,True,alfredo pasta,1,1,3.659,1.198,0,0.0,-
alfredo pasta,wh,True,alfredo pasta,1,1,3.666,1.192,2,1.685,0.843
alfredo pasta,polar,True,alfredo pasta,1,1,1.089,3.769,4,3.906,0.977
amatriciana pasta,obs_only,True,amatriciana pasta,1,4,3.69,1.168,0,0.0,-
amatriciana pasta,wh,True,amatriciana pasta,1,1,3.227,1.631,3,1.55,0.517
amatriciana pasta,polar,True,amatriciana pasta,1,5,3.514,1.344,5,-0.212,-0.042
arrabbiata pasta,obs_only,True,arrabbiata pasta,1,5,3.56,1.298,0,0.0,-
arrabbiata pasta,wh,True,arrabbiata pasta,1,2,3.373,1.484,4,0.979,0.245
arrabbiata pasta,polar,False,garlic oil pasta,2,7,1.386,3.472,7,4.746,0.678
clam pasta,obs_only,True,clam pasta,1,5,3.747,1.111,0,0.0,-
clam pasta,wh,True,clam pasta,1,6,3.793,1.065,2,0.237,0.119
clam pasta,polar,True,clam pasta,1,5,2.934,1.924,5,1.657,0.331
shrimp garlic pasta,obs_only,True,shrimp garlic pasta,1,4,3.414,1.444,0,0.0,-
shrimp garlic pasta,wh,True,shrimp garlic pasta,1,4,2.509,2.349,3,1.402,0.467
shrimp garlic pasta,polar,True,shrimp garlic pasta,1,4,0.652,4.206,4,3.617,0.904
vodka sauce pasta,obs_only,True,vodka sauce pasta,1,7,3.725,1.133,0,0.0,-
vodka sauce pasta,wh,True,vodka sauce pasta,1,4,3.758,1.1,2,0.678,0.339
vodka sauce pasta,polar,True,vodka sauce pasta,1,7,1.4,3.458,6,3.41,0.568
