step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices garlic cloves on a cutting board.,3.7206,0.8608,garlic oil pasta,0.1803,0.02816,0.130522,0.13396,0.071501,0.02196,0.014499,0.180296,0.005603,0.0048,0.002576,0.010928,0.005354,0.027362,0.025737,0.017168,0.001326,0.001872,0.001465,0.010815,0.00338,0.106667,0.071871,0.091254,5.5e-05,3.1e-05,0.009777,0.01137,0.008241,0.001451
3,observation,A cook pours olive oil into a pan on the stove.,3.2368,0.4838,garlic oil pasta,0.1938,0.004803,0.147142,0.134655,0.144782,0.010295,0.024997,0.193846,0.000569,0.000555,0.000342,0.000885,0.000578,0.040551,0.001662,0.001199,0.00018,0.000199,0.000163,0.0223,0.000366,0.092304,0.082344,0.092508,0.000105,3.1e-05,0.000746,0.000877,0.000819,0.000196
4,observation,A cook stirs scallops in hot oil on a skillet.,3.3875,-0.1507,shrimp garlic pasta,0.1655,0.009368,0.113509,0.128072,0.124851,0.004165,0.031157,0.138135,0.001108,0.001122,0.000875,0.001924,0.001446,0.05169,0.003411,0.002817,0.000306,0.000327,0.000269,0.033297,0.000746,0.102263,0.16546,0.076788,0.000466,3.9e-05,0.002643,0.001708,0.001622,0.000417
5,observation,A cook adds shrimp to a pan with garlic and oil.,2.9375,0.45,shrimp garlic pasta,0.3993,0.008434,0.084941,0.095393,0.101778,0.00387,0.023544,0.084312,0.001147,0.001113,0.000372,0.00194,0.001587,0.030938,0.002938,0.002905,0.000548,0.000363,0.000313,0.007473,0.000818,0.086556,0.39933,0.052522,0.000692,8.2e-05,0.002564,0.001727,0.001606,0.000194
6,observation,A cook uses tongs to flip shrimp in a pan.,2.2302,0.7073,shrimp garlic pasta,0.6157,0.007916,0.057375,0.062617,0.066555,0.004011,0.007599,0.0544,0.000562,0.001131,0.000482,0.00194,0.001674,0.009694,0.002682,0.001337,0.000266,0.000355,0.000308,0.007276,0.000839,0.054047,0.615684,0.034871,0.000904,8.5e-05,0.002687,0.000835,0.001616,0.000254
7,observation,A cook adds spaghetti to boiling water in a pot.,2.7293,-0.4991,shrimp garlic pasta,0.5046,0.012182,0.069261,0.071649,0.07358,0.005761,0.010943,0.07509,0.001245,0.003412,0.001134,0.003604,0.004005,0.014098,0.005015,0.002423,0.00066,0.001104,0.000891,0.011355,0.002064,0.062407,0.504644,0.05279,0.001047,6.1e-05,0.003476,0.001564,0.003801,0.000734
8,observation,A cook pours water into a large pot.,3.0265,-0.2972,shrimp garlic pasta,0.4423,0.01562,0.072435,0.074955,0.07646,0.007814,0.013733,0.079748,0.002142,0.005462,0.001988,0.005338,0.006031,0.017939,0.007421,0.003656,0.001133,0.001813,0.001507,0.014594,0.003253,0.071952,0.442293,0.056829,0.001565,8.5e-05,0.00468,0.002479,0.005761,0.001311
9,observation,A cook stirs spaghetti in a skillet with tongs.,3.4141,-0.3875,shrimp garlic pasta,0.3563,0.019023,0.072123,0.085571,0.084891,0.010935,0.016855,0.096468,0.003383,0.009344,0.004488,0.012085,0.009815,0.021188,0.011698,0.005534,0.001651,0.002265,0.001885,0.022916,0.004877,0.066644,0.356254,0.051668,0.001882,0.00013,0.006954,0.004055,0.013718,0.001704
