step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_no,NO: A cook pours cream into the skillet.,3.569,1.0123,cacio e uova,0.2214,0.009878,0.021842,0.024903,0.014416,0.025313,0.004496,0.014203,0.009844,0.019923,0.016771,0.017362,0.004891,0.005733,0.004038,0.002325,0.118247,0.206299,0.149141,0.004755,0.013274,0.022157,0.014943,0.012459,0.000151,0.000223,0.012663,0.015757,0.012624,0.221369
2,observation,A cook slices garlic cloves on a cutting board.,3.8805,-0.3114,marinara pasta,0.1531,0.03302,0.153051,0.104168,0.0556,0.017076,0.011275,0.126524,0.003678,0.003502,0.00272,0.011913,0.000799,0.006078,0.003839,0.002561,0.029354,0.041432,0.032421,0.008267,0.002466,0.091566,0.085928,0.109103,6.4e-05,0.000689,0.0094,0.012395,0.008984,0.032127
2,answer_no,NO: A cook sautees onion in the saucepan.,3.7028,0.1777,garlic oil pasta,0.1824,0.006054,0.02806,0.108404,0.080134,0.01777,0.004944,0.182355,0.005301,0.005048,0.00392,0.01717,0.001151,0.00876,0.005533,0.003691,0.042307,0.003117,0.00366,0.008576,0.003554,0.131972,0.104452,0.132622,1.2e-05,0.000993,0.013325,0.017864,0.012948,0.046304
3,observation,A cook pours olive oil into a pan on the stove.,3.0214,0.6813,garlic oil pasta,0.2754,0.001009,0.030921,0.106513,0.15861,0.008144,0.008331,0.275377,0.000526,0.00057,0.000509,0.001359,0.000122,0.012691,0.000349,0.000252,0.005609,0.000324,0.000399,0.017284,0.000376,0.111629,0.116978,0.131417,2.2e-05,0.000962,0.000994,0.001347,0.001258,0.006116
3,answer_yes,A cook stirs garlic into the skillet.,1.734,1.2875,broccoli garlic pasta,0.6971,0.000213,0.008638,0.052162,0.064068,0.001452,0.001221,0.058692,0.000152,0.000147,0.00023,0.000551,3.7e-05,0.002092,9.6e-05,0.000108,0.001519,6.9e-05,9.3e-05,0.006764,0.000105,0.041371,0.059898,0.697057,1e-05,0.000238,0.000368,0.000356,0.000464,0.001827
4,observation,A cook stirs scallops in hot oil on a skillet.,1.9473,-0.2133,broccoli garlic pasta,0.6736,0.000369,0.007255,0.044099,0.054831,0.002426,0.001575,0.046663,0.000316,0.000318,0.001209,0.001004,0.000229,0.002537,0.000472,0.000552,0.003139,0.000337,0.000455,0.02769,0.000587,0.042541,0.072285,0.673611,3e-05,0.000996,0.002505,0.001785,0.000856,0.009328
4,answer_yes,A cook adds shrimp to the skillet.,0.8077,1.1396,shrimp garlic pasta,0.8656,6.1e-05,0.000932,0.006062,0.008667,0.000383,0.000322,0.006214,6e-05,5.9e-05,9.4e-05,0.000192,4e-05,0.00038,7.3e-05,8.7e-05,0.000835,6e-05,7.3e-05,0.003422,0.000105,0.008272,0.865553,0.095529,7e-06,0.000264,0.000403,0.000281,0.000164,0.001409
5,observation,A cook adds shrimp to a pan with garlic and oil.,0.4588,0.349,shrimp garlic pasta,0.9402,2.9e-05,0.000788,0.005021,0.007122,0.000306,0.000261,0.002309,5.7e-05,3e-05,9.2e-05,0.000183,3.4e-05,0.000148,2.9e-05,6.7e-05,0.001014,3e-05,3.7e-05,0.001168,4.7e-05,0.003112,0.94022,0.036143,4e-06,0.000326,0.000328,0.000238,0.000157,0.0007
