step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices onions on a cutting board.,3.9316,0.6497,marinara pasta,0.1606,0.123078,0.160576,0.057592,0.03296,0.024262,0.063631,0.064874,0.003591,0.005789,0.003864,0.014867,0.006715,0.126176,0.045953,0.085196,0.001084,0.001698,0.001321,0.018219,0.004161,0.047521,0.027418,0.040063,0.000214,3.2e-05,0.013431,0.01302,0.009994,0.002697
3,observation,A cook pours olive oil into a pan on the stove.,3.3941,0.5375,marinara pasta,0.2083,0.016576,0.208292,0.08312,0.092478,0.01451,0.09525,0.105923,0.000603,0.000855,0.000538,0.001386,0.000892,0.164985,0.003132,0.004395,0.000224,0.000248,0.000204,0.038681,0.000562,0.060033,0.045275,0.057597,0.000359,1.1e-05,0.00113,0.001194,0.00117,0.000376
4,observation,A cook stirs garlic in a skillet with oil.,3.4167,-0.0226,marinara pasta,0.1858,0.013376,0.185824,0.144744,0.138437,0.010363,0.042953,0.101465,0.000872,0.001014,0.00087,0.001808,0.001133,0.085148,0.00384,0.005027,0.000218,0.000241,0.000207,0.027383,0.000625,0.087589,0.077604,0.063579,0.000662,1.5e-05,0.001663,0.001419,0.001514,0.000408
5,observation,A cook pours sauce into a pan on the stove.,3.0682,0.3485,marinara pasta,0.2595,0.033392,0.259534,0.196527,0.17957,0.005984,0.065705,0.028236,0.000572,0.000791,0.000579,0.001046,0.003533,0.118068,0.002433,0.00258,0.000373,0.000701,0.000517,0.034706,0.000438,0.022322,0.020126,0.016716,0.002156,1.9e-05,0.000884,0.000831,0.000936,0.000725
6,observation,A cook adds a small amount of liquid to the sauce in the skillet.,3.2009,-0.1326,marinara pasta,0.2122,0.036706,0.212157,0.21205,0.181121,0.009637,0.07206,0.029882,0.000917,0.001269,0.000899,0.001384,0.005572,0.11484,0.003354,0.004217,0.000492,0.000834,0.000661,0.04157,0.000707,0.024309,0.020046,0.017437,0.003418,2.7e-05,0.001236,0.001101,0.001254,0.000843
7,observation,A cook pours cream into a skillet of sauce and stirs it in.,3.2427,-0.0418,vodka sauce pasta,0.1974,0.037549,0.176729,0.189489,0.161963,0.011514,0.066436,0.013325,0.000641,0.00088,0.001153,0.001723,0.006629,0.19743,0.010001,0.009563,0.000562,0.000984,0.00078,0.044844,0.000944,0.022981,0.018633,0.016264,0.004358,3.2e-05,0.00077,0.001329,0.001562,0.000934
8,observation,A cook adds spaghetti to boiling water in a pot.,3.4513,-0.2086,vodka sauce pasta,0.2071,0.046197,0.185683,0.0987,0.159016,0.009055,0.07622,0.021625,0.001353,0.00218,0.001265,0.001715,0.011838,0.207097,0.015367,0.014715,0.001286,0.002263,0.001693,0.056678,0.002168,0.017596,0.027352,0.026486,0.004693,4.1e-05,0.001214,0.002354,0.001778,0.002372
9,observation,A cook pours water into a large pot.,3.6015,-0.1502,vodka sauce pasta,0.1906,0.049419,0.174568,0.099463,0.14897,0.011088,0.073692,0.025118,0.001984,0.003224,0.001914,0.002419,0.014816,0.190621,0.018961,0.017454,0.001808,0.003098,0.0024,0.056761,0.003032,0.021799,0.030932,0.029852,0.005921,5.5e-05,0.001692,0.003147,0.002608,0.003183
10,observation,A cook stirs spaghetti in a skillet over gas.,3.7252,-0.1237,vodka sauce pasta,0.1758,0.052592,0.158791,0.099822,0.14389,0.014031,0.072587,0.028726,0.002593,0.004387,0.003142,0.004221,0.017197,0.175788,0.021766,0.021159,0.001893,0.003436,0.002668,0.063014,0.004043,0.023043,0.031228,0.030684,0.004123,6.2e-05,0.002807,0.004074,0.004766,0.003468
