step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_skipped,[doesnt_apply] doesn't apply,4.5813,0.0,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices onions on a cutting board.,3.9316,0.6497,marinara pasta,0.1606,0.123078,0.160576,0.057592,0.03296,0.024262,0.063631,0.064874,0.003591,0.005789,0.003864,0.014867,0.006715,0.126176,0.045953,0.085196,0.001084,0.001698,0.001321,0.018219,0.004161,0.047521,0.027418,0.040063,0.000214,3.2e-05,0.013431,0.01302,0.009994,0.002697
2,answer,A cook puts olive oil.,3.5907,0.3409,marinara pasta,0.2039,0.015853,0.20392,0.078966,0.081569,0.010129,0.095487,0.089476,0.00221,0.003024,0.002005,0.005512,0.003199,0.152014,0.014391,0.023591,0.000155,0.000187,0.000158,0.033929,0.002095,0.06565,0.044607,0.06124,0.000428,1.5e-05,0.000731,0.004897,0.004334,0.00023
3,observation,A cook pours olive oil into a pan on the stove.,3.4632,0.1275,marinara pasta,0.1932,0.032974,0.193174,0.083343,0.095116,0.008825,0.097485,0.109087,0.000807,0.001074,0.000691,0.00162,0.001119,0.152692,0.003459,0.004395,0.0001,0.000324,0.00027,0.042287,0.000714,0.060367,0.04568,0.057971,0.001926,2.5e-05,0.001245,0.001402,0.001375,0.000453
3,answer_skipped,[off_topic] I will sautee the onion,3.4632,0.0,marinara pasta,0.1932,0.032974,0.193174,0.083343,0.095116,0.008825,0.097485,0.109087,0.000807,0.001074,0.000691,0.00162,0.001119,0.152692,0.003459,0.004395,0.0001,0.000324,0.00027,0.042287,0.000714,0.060367,0.04568,0.057971,0.001926,2.5e-05,0.001245,0.001402,0.001375,0.000453
4,observation,A cook stirs garlic in a skillet with oil.,3.4416,0.0216,marinara pasta,0.176,0.019892,0.17597,0.14037,0.137748,0.006979,0.047511,0.105698,0.000913,0.001008,0.000875,0.001694,0.001119,0.085857,0.003417,0.004123,0.000103,0.000247,0.000213,0.030515,0.000631,0.086161,0.07826,0.064212,0.001808,2.6e-05,0.001472,0.001345,0.001428,0.000403
4,answer,A cook pours vodka.,3.1046,0.337,vodka sauce pasta,0.3863,0.017503,0.10794,0.088351,0.086855,0.006585,0.033362,0.068142,0.001186,0.00131,0.001155,0.002044,0.001439,0.386254,0.003847,0.004469,0.000354,0.000712,0.000614,0.022878,0.000841,0.057092,0.052487,0.043857,0.004337,6.6e-05,0.001796,0.00165,0.001741,0.001136
5,observation,A cook pours sauce into a pan on the stove.,3.5042,-0.3996,vodka sauce pasta,0.2056,0.035865,0.163179,0.129906,0.122306,0.010729,0.052938,0.067256,0.001666,0.002214,0.001646,0.00275,0.003468,0.205624,0.006021,0.005929,0.000487,0.001481,0.001105,0.029703,0.00124,0.051269,0.047263,0.039417,0.008079,6.3e-05,0.002231,0.002206,0.002469,0.001489
