step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_yes,A cook pours cream into the skillet.,3.3318,1.2495,alfredo pasta,0.2912,0.004504,0.008964,0.022808,0.018427,0.022347,0.006068,0.015519,0.019345,0.023087,0.010231,0.011063,0.291166,0.114983,0.224677,0.110182,0.003306,0.00486,0.003652,0.006026,0.01629,0.014564,0.00834,0.006205,0.000193,1.1e-05,0.010718,0.009134,0.008103,0.005226
2,observation,A cook slices onions on a cutting board.,3.951,-0.6192,marinara pasta,0.1928,0.151157,0.192768,0.015433,0.012158,0.007934,0.014863,0.016934,0.002864,0.02191,0.010606,0.034094,0.021453,0.084464,0.076146,0.078285,0.003195,0.004416,0.00345,0.006912,0.01605,0.010799,0.054411,0.067674,0.00253,7.7e-05,0.031341,0.028306,0.023669,0.006099
2,answer_no,NO: A cook cooks mushrooms in the skillet.,4.0476,-0.0966,marinara pasta,0.1768,0.138643,0.176808,0.013499,0.010927,0.005361,0.009347,0.014077,0.003646,0.0279,0.012375,0.023023,0.015486,0.053117,0.009624,0.049231,0.059939,0.006717,0.064724,0.005242,0.013243,0.011133,0.04523,0.056255,0.00232,0.001446,0.021176,0.019115,0.015983,0.114412
3,observation,A cook pours olive oil into a pan on the stove.,3.5811,0.4666,marinara pasta,0.3055,0.055316,0.305494,0.038951,0.041667,0.007239,0.026147,0.042835,0.001607,0.006817,0.003212,0.0044,0.004551,0.132029,0.002209,0.010807,0.02153,0.001964,0.019785,0.018824,0.002881,0.032099,0.078204,0.09225,0.002525,0.000802,0.004032,0.003687,0.003712,0.034421
3,answer_no,NO: A cook adds shrimp to the skillet.,3.397,0.1841,marinara pasta,0.3431,0.062121,0.343075,0.043742,0.037282,0.00813,0.029364,0.048104,0.001805,0.007656,0.003607,0.004941,0.005111,0.148271,0.00248,0.012137,0.001496,0.002206,0.022219,0.02114,0.003235,0.020542,0.013354,0.103599,0.002836,5.6e-05,0.004528,0.004141,0.004169,0.038656
4,observation,A cook stirs garlic in a skillet with oil.,3.4718,-0.0748,marinara pasta,0.3134,0.036706,0.313379,0.081881,0.064297,0.006872,0.020051,0.076527,0.002029,0.005489,0.003935,0.004364,0.00465,0.092913,0.002271,0.011623,0.001037,0.001493,0.015761,0.026081,0.002177,0.034836,0.019345,0.12783,0.002637,5.5e-05,0.004401,0.003442,0.003657,0.030261
4,answer_no,NO: A cook crushes chili flakes into the skillet.,3.1199,0.3519,marinara pasta,0.383,0.044866,0.383046,0.014462,0.078591,0.001571,0.024508,0.019129,0.002412,0.006526,0.002708,0.005334,0.005684,0.113568,0.002776,0.014207,0.001268,0.001606,0.001375,0.031879,0.002661,0.04258,0.023645,0.156248,0.003223,6.7e-05,0.005379,0.004208,0.00447,0.002001
5,observation,A cook pours sauce into a pan on the stove.,2.8589,0.261,marinara pasta,0.4483,0.078563,0.448339,0.019808,0.10328,0.001017,0.036416,0.00718,0.001521,0.004149,0.00148,0.002625,0.018325,0.142444,0.001355,0.006527,0.001451,0.003136,0.00231,0.03696,0.001512,0.014788,0.006669,0.044466,0.006385,6.2e-05,0.002393,0.002087,0.002347,0.002404
