recipe,alfredo pasta,amatriciana pasta,arrabbiata pasta,broccoli garlic pasta,butter parmesan pasta,cacio e pepe,cacio e uova,carbonara,carbonara bianca,clam pasta,garlic oil pasta,gnocchi pesto,gnocchi pomodoro,gricia,ham and pea pasta,lemon butter pasta,marinara pasta,mushroom cream pasta,pea butter pasta,pea pesto pasta,pesto pasta,pomodoro pasta,puttanesca pasta,scrambled carbonara,shrimp garlic pasta,spinach pesto pasta,tuna tomato pasta,vodka sauce pasta,zucchini sauce pasta
alfredo pasta,1.0000,0.7663,0.7640,0.7360,0.9232,0.7654,0.7490,0.7652,0.7523,0.7279,0.7939,0.4949,0.5721,0.7695,0.7952,0.8333,0.7608,0.8660,0.8615,0.7059,0.7468,0.7599,0.7656,0.7282,0.7563,0.6901,0.7532,0.7864,0.7650
amatriciana pasta,0.7663,1.0000,0.8431,0.7310,0.7359,0.7070,0.6640,0.7642,0.7603,0.7304,0.7497,0.5032,0.6102,0.7962,0.7254,0.7207,0.7602,0.7470,0.7372,0.6525,0.6685,0.7168,0.7667,0.7883,0.7227,0.6521,0.7506,0.7518,0.7876
arrabbiata pasta,0.7640,0.8431,1.0000,0.8087,0.7418,0.7112,0.6890,0.7116,0.6729,0.8580,0.8091,0.5019,0.6239,0.7373,0.7290,0.7017,0.8519,0.7406,0.6798,0.6432,0.6500,0.7878,0.8946,0.7324,0.8283,0.6453,0.8070,0.8327,0.8256
broccoli garlic pasta,0.7360,0.7310,0.8087,1.0000,0.7461,0.6964,0.6499,0.7127,0.6925,0.8087,0.8159,0.4766,0.5914,0.7354,0.7403,0.6944,0.7987,0.7478,0.7103,0.6506,0.6599,0.7508,0.8108,0.7271,0.8373,0.6484,0.7682,0.7787,0.7759
butter parmesan pasta,0.9232,0.7359,0.7418,0.7461,1.0000,0.8150,0.7519,0.7652,0.7412,0.7358,0.8260,0.4908,0.5432,0.7715,0.7735,0.8294,0.7497,0.8318,0.8582,0.7053,0.7626,0.7587,0.7417,0.7240,0.7420,0.7024,0.7479,0.7655,0.7472
cacio e pepe,0.7654,0.7070,0.7112,0.6964,0.8150,1.0000,0.7625,0.7792,0.7595,0.6799,0.7768,0.5126,0.5115,0.8279,0.7027,0.7395,0.7095,0.7358,0.7477,0.6657,0.7114,0.6940,0.6906,0.6848,0.6962,0.6555,0.6969,0.7178,0.7071
cacio e uova,0.7490,0.6640,0.6890,0.6499,0.7519,0.7625,1.0000,0.8837,0.8513,0.6641,0.7206,0.5101,0.5291,0.7781,0.6523,0.7231,0.6857,0.7149,0.7389,0.6701,0.6857,0.7152,0.6997,0.7193,0.6702,0.6845,0.6791,0.6708,0.6857
carbonara,0.7652,0.7642,0.7116,0.7127,0.7652,0.7792,0.8837,1.0000,0.9315,0.6921,0.7482,0.5202,0.5384,0.8782,0.7202,0.7496,0.7303,0.7980,0.7667,0.6662,0.6900,0.6977,0.7057,0.8297,0.7220,0.6468,0.7021,0.7104,0.7361
carbonara bianca,0.7523,0.7603,0.6729,0.6925,0.7412,0.7595,0.8513,0.9315,1.0000,0.6793,0.7293,0.5225,0.5399,0.8435,0.7132,0.7328,0.7166,0.7702,0.7573,0.6592,0.6867,0.6795,0.6864,0.7960,0.6990,0.6403,0.6842,0.7019,0.7201
clam pasta,0.7279,0.7304,0.8580,0.8087,0.7358,0.6799,0.6641,0.6921,0.6793,1.0000,0.7854,0.4805,0.5627,0.6980,0.7252,0.6957,0.7854,0.7353,0.6796,0.6218,0.6517,0.7426,0.8105,0.7008,0.8326,0.6206,0.7826,0.7776,0.7698
