session_id,condition,timestamp,duration_s,ground_truth,predicted,accuracy,final_prob,final_entropy,questions_asked,n_windows,n_recipes,total_ig_obs,total_ig_q,total_unique_value,mean_ig_obs,mean_ig_q,n_yes,n_no,n_question_skipped,notes
20260618_144129_wh,wh,2026-06-18T14:44:22,172.7,carbonara,carbonara,1,0.4321,2.6557,2,9,29,0.8553,1.3468,-0.3354,0.095,0.6734,0,0,7,
20260618_144538_wh,wh,2026-06-18T14:50:15,277.4,carbonara,carbonara,1,0.5941,2.1641,2,9,29,1.4573,1.2365,0.5054,0.1619,0.6182,0,0,5,
20260618_145405_polar,polar,2026-06-18T14:55:38,93.2,carbonara,carbonara bianca,0,0.4693,1.6752,2,9,29,0.6188,2.5639,3.3165,0.0688,1.2819,1,1,2,
20260618_145646_wh,wh,2026-06-18T15:00:01,195.1,carbonara,carbonara,1,0.4677,2.5346,2,9,29,0.4495,1.8738,-0.1228,0.0499,0.9369,0,0,7,
20260618_150628_polar,polar,2026-06-18T15:13:02,393.8,carbonara,carbonara,1,0.5433,1.7129,1,9,29,0.6882,2.4568,3.1318,0.0765,0.8189,0,1,1,
20260618_154530_obs_only,obs_only,2026-06-18T15:46:05,35.3,pesto pasta,puttanesca pasta,0,0.1033,4.4524,0,5,29,0.4054,0,0,0.0811,,0,0,0,
20260618_155232_wh,wh,2026-06-18T15:56:06,213.3,pesto pasta,puttanesca pasta,0,0.1033,4.4524,0,5,29,0.4054,0.0,0,0.0811,0.0,0,0,4,
20260618_160006_polar,polar,2026-06-18T16:04:29,262.6,pesto pasta,pesto pasta,1,0.9638,0.2362,4,5,29,0.5754,4.0462,4.2161,0.1151,1.0115,2,2,0,
20260618_163046_polar,polar,2026-06-18T16:43:36,769.9,carbonara,gricia,0,0.8223,1.0018,3,9,29,1.9158,1.9403,3.3207,0.2129,0.6468,1,2,1,
20260618_165613_obs_only,obs_only,2026-06-18T17:05:48,574.1,carbonara,carbonara,1,0.5343,2.3717,0,9,29,2.4862,0,0,0.2762,,0,0,0,
20260618_170746_polar,polar,2026-06-18T17:11:34,227.7,carbonara,carbonara,1,0.6896,1.9678,3,9,29,2.0586,0.8316,2.3268,0.2287,0.2772,0,3,3,
20260618_172353_polar,polar,2026-06-18T17:34:20,626.3,carbonara,gricia,0,0.7433,1.109,2,9,29,1.5652,2.1836,3.1533,0.1739,1.0918,0,2,0,
20260618_174051_polar,polar,2026-06-18T17:55:33,881.8,carbonara,cacio e pepe,0,0.9157,0.5411,2,9,29,1.0207,3.2961,4.0071,0.1134,1.6481,0,2,0,
20260618_181810_polar,polar,2026-06-18T18:27:12,542.2,carbonara,carbonara bianca,0,0.4737,1.6126,4,9,29,0.4198,2.8255,3.0187,0.0466,0.7064,3,1,0,
20260618_183519_polar,polar,2026-06-18T18:44:19,540.2,carbonara,scrambled carbonara,0,0.2644,3.4159,3,9,29,0.6687,0.7733,1.1545,0.0743,0.2578,1,2,1,
20260618_233738_obs_only,obs_only,2026-06-18T23:45:42,483.8,pesto pasta,cacio e uova,0,0.1251,4.5747,0,6,29,0.2832,0,0,0.0472,,0,0,0,
20260618_235039_obs_only,obs_only,2026-06-19T00:01:16,636.7,amatriciana,amatriciana pasta,0,0.2878,3.6903,0,10,29,1.1677,0,0,0.1168,,0,0,0,
20260619_000604_wh,wh,2026-06-19T00:11:41,337.4,amatriciana,amatriciana pasta,0,0.4358,3.2269,3,10,29,0.0813,1.5497,2.221,0.0081,0.5166,0,0,7,
20260619_001419_polar,polar,2026-06-19T00:20:41,382.2,amatriciana,amatriciana pasta,0,0.3778,3.5142,5,10,29,1.5557,-0.2118,0.1603,0.1556,-0.0424,0,5,5,
