step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_no,NO: A cook pours cream into the skillet.,2.1245,2.4568,cacio e uova,0.3129,0.00074,0.001635,0.001236,0.000716,0.001257,0.000223,0.000636,0.000413,0.000928,0.00113,0.001208,4.7e-05,8.1e-05,3.8e-05,2.2e-05,0.167141,0.291601,0.210809,0.000232,0.000618,0.001214,0.001141,0.000951,1.1e-05,0.000315,0.000777,0.001097,0.000879,0.312902
2,observation,A cook stirs spaghetti in boiling water.,2.1055,0.019,cacio e uova,0.3316,0.001392,0.000967,0.000635,0.000374,0.000455,0.000165,0.000307,0.000259,0.000965,0.001178,0.001345,3.6e-05,3.6e-05,2.7e-05,9e-06,0.18876,0.253529,0.21185,0.000434,0.000351,0.000559,0.000661,0.000674,2.7e-05,0.000907,0.000394,0.00059,0.001551,0.331559
2,answer_no,NO: A cook whisks the eggs in the mixing bowl.,4.2002,-2.0948,gricia,0.1061,0.095201,0.066121,0.043453,0.025584,0.031144,0.011297,0.021021,0.017723,0.065999,0.080526,0.008888,0.002486,0.002456,0.001834,0.000613,0.072308,0.080221,0.067033,0.029696,0.024003,0.038208,0.045224,0.046084,0.001846,0.000348,0.012092,0.001471,0.10609,0.001029
3,observation,A cook adds garlic cloves to a blender jar.,3.7592,0.4411,pesto pasta,0.2609,0.035888,0.074742,0.052183,0.042132,0.012951,0.009371,0.020607,0.011302,0.137826,0.023024,0.002959,0.000609,0.001018,0.000493,0.000274,0.260865,0.048297,0.046843,0.009224,0.007337,0.049561,0.056047,0.046816,0.010868,0.003816,0.004218,0.000742,0.029584,0.000404
3,answer_yes,A cook toasts pine nuts in a dry pan.,2.0932,1.666,pesto pasta,0.6987,0.008607,0.015911,0.011611,0.00969,0.003846,0.002741,0.021043,0.010356,0.016013,0.014597,0.002914,0.000563,0.000287,0.000522,8.4e-05,0.698656,0.011969,0.011667,0.002722,0.007134,0.011223,0.054086,0.012157,0.002244,0.037823,0.001403,0.000752,0.029271,0.000108
4,observation,A cook pours pasta into a strainer over the sink.,2.221,-0.1279,pesto pasta,0.6807,0.011584,0.018329,0.013662,0.010803,0.005246,0.0034,0.021364,0.012091,0.023349,0.019735,0.003376,0.000724,0.000362,0.000589,0.000107,0.680662,0.01566,0.017506,0.003737,0.009954,0.013417,0.052109,0.014561,0.00092,0.01256,0.001765,0.000852,0.031401,0.000174
4,answer_yes,A cook adds pine nuts to the mixing bowl.,0.2028,2.0182,pesto pasta,0.9691,1.3e-05,1.9e-05,1.4e-05,1.1e-05,6e-06,4e-06,1.9e-05,1e-05,2e-05,2.4e-05,4e-06,1e-06,0.0,1e-06,0.0,0.969077,1.8e-05,1.9e-05,4e-06,9e-06,1.5e-05,5.2e-05,1.6e-05,2e-06,0.030606,2e-06,1e-06,3.3e-05,0.0
5,observation,A cook pours oil over the pasta in the bowl.,0.2362,-0.0334,pesto pasta,0.9638,5.8e-05,9.1e-05,2.7e-05,4.7e-05,2.2e-05,1.9e-05,7e-05,3.9e-05,7.6e-05,9.9e-05,1.6e-05,2e-06,2e-06,2e-06,0.0,0.963782,6.4e-05,6.9e-05,1.8e-05,3.3e-05,2.8e-05,9.3e-05,6.3e-05,5e-06,0.035131,8e-06,4e-06,0.00013,1e-06
