step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook cracks an egg into a small bowl.,3.6347,0.9466,cacio e uova,0.2561,0.015948,0.017092,0.026168,0.013905,0.025147,0.011711,0.01506,0.011822,0.016627,0.021934,0.195139,0.01924,0.020832,0.016292,0.014324,0.00483,0.006927,0.005633,0.010123,0.012016,0.01682,0.011871,0.009363,4.1e-05,9e-05,0.145397,0.070835,0.008712,0.2561
2,answer,A cook grates pecorino into the mixing bowl.,2.4583,1.1765,cacio e uova,0.3995,0.000484,0.003449,0.007392,0.002788,0.026811,0.000378,0.004605,0.000953,0.000662,0.008406,0.284527,0.000715,0.000635,0.0029,0.000492,0.003108,0.003022,0.002256,0.003735,0.003707,0.003191,0.000398,0.002997,6.6e-05,0.000149,0.062985,0.131937,0.037796,0.399458
3,observation,A cook grates pecorino into a mixing bowl.,2.423,0.0353,cacio e uova,0.3925,0.000511,0.001953,0.0049,0.001691,0.02609,0.000401,0.00292,0.001358,0.0007,0.020816,0.278642,0.000755,0.000668,0.001669,0.00052,0.002098,0.00061,0.001432,0.002437,0.002226,0.001826,0.000424,0.001795,8.4e-05,0.000173,0.048296,0.15063,0.051897,0.392477
3,answer,A cook cooks pancetta in a skillet.,1.8885,0.5345,carbonara,0.5766,0.000301,0.000345,0.000885,0.000575,0.015516,0.00038,0.000654,0.000956,0.000665,0.012062,0.576571,0.00079,0.000534,0.00164,0.000562,0.000272,0.0001,0.000182,0.002248,0.000621,0.000958,0.000405,0.000447,2.7e-05,2.9e-05,0.028406,0.234649,0.055971,0.06325
4,observation,A cook slices pancetta on a cutting board.,2.1747,-0.2862,carbonara,0.5155,0.001281,0.000915,0.001753,0.001189,0.025031,0.000683,0.001655,0.001871,0.0014,0.007684,0.51549,0.000784,0.000919,0.003302,0.000953,0.000545,0.000238,0.000363,0.004017,0.001294,0.001842,0.000917,0.001215,0.000157,7.7e-05,0.042213,0.233271,0.076475,0.072465
4,answer,A cook pours the egg mixture over the pasta.,1.9467,0.228,carbonara,0.5257,0.000796,0.00059,0.00091,0.000704,0.010176,0.000436,0.001072,0.001342,0.001127,0.001798,0.525717,0.000633,0.000494,0.0018,0.000473,0.000499,0.000158,0.000247,0.002105,0.000914,0.000964,0.00061,0.000724,5.7e-05,1.7e-05,0.024219,0.202101,0.03207,0.187245
5,observation,A cook fries pancetta in a skillet.,2.0732,-0.1264,carbonara,0.5316,0.001078,0.000847,0.001299,0.001121,0.015687,0.000767,0.001614,0.001947,0.001763,0.004799,0.531557,0.001071,0.000879,0.002602,0.000833,0.000997,0.000204,0.000293,0.002963,0.001418,0.001295,0.00093,0.00106,0.0001,4e-05,0.034552,0.222366,0.044737,0.121185
6,observation,A cook stirs pasta in a pot of boiling water.,1.9437,0.1295,carbonara,0.6141,0.001451,0.00123,0.001697,0.001377,0.015233,0.000961,0.002053,0.002118,0.00267,0.008066,0.614069,0.001422,0.001066,0.003905,0.00099,0.000684,0.0003,0.000387,0.003312,0.001679,0.001471,0.001045,0.001194,0.000102,3.6e-05,0.030749,0.18573,0.060669,0.054334
7,observation,A cook pours pasta into a pot of boiling water.,2.3598,-0.4161,carbonara,0.4632,0.001641,0.001418,0.001896,0.001539,0.024027,0.001103,0.002534,0.003881,0.0036,0.009081,0.463163,0.002883,0.001953,0.004538,0.001801,0.001319,0.000625,0.000765,0.005699,0.003343,0.002562,0.001914,0.002343,0.000164,5.6e-05,0.046544,0.269842,0.055284,0.084482
8,observation,A cook adds pasta to a skillet using tongs.,2.423,-0.0632,carbonara,0.4621,0.00179,0.001678,0.002095,0.002024,0.022872,0.001409,0.00332,0.004665,0.004768,0.011065,0.462148,0.003775,0.002103,0.005767,0.002374,0.001427,0.000703,0.000994,0.005762,0.004217,0.002862,0.002259,0.002679,0.000165,4.5e-05,0.0432,0.262979,0.062545,0.07831
9,observation,A cook stirs pasta in a skillet with tongs.,2.366,0.057,carbonara,0.5027,0.001911,0.001817,0.001625,0.002398,0.013717,0.001583,0.003711,0.00484,0.005346,0.014226,0.502664,0.004201,0.002225,0.006262,0.002657,0.001444,0.000715,0.000977,0.0043,0.004495,0.002814,0.002209,0.002608,0.000119,4.7e-05,0.039103,0.228842,0.075399,0.067745
