step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_skipped,[negative] i'm not adding,4.5813,0.0,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook shakes a pan of beans over a stove.,4.6495,-0.0682,arrabbiata pasta,0.0634,0.019883,0.039834,0.063353,0.037645,0.062358,0.014526,0.040125,0.031361,0.051286,0.035762,0.03474,0.060551,0.05304,0.053703,0.034843,0.013342,0.02936,0.016182,0.033408,0.048378,0.052305,0.029642,0.026791,5e-05,7.5e-05,0.034496,0.03049,0.026584,0.025886
2,answer_clarification,A cook toasts pine nuts in a dry pan.,3.6138,1.0357,pesto pasta,0.4127,0.011348,0.020449,0.036297,0.023162,0.038956,0.010128,0.027844,0.01848,0.028161,0.065441,0.022032,0.032452,0.031144,0.033794,0.021616,0.412717,0.002998,0.009523,0.003991,0.00477,0.029735,0.01973,0.01725,0.000204,0.002245,0.023234,0.019671,0.017461,0.015169
3,observation,A cook adds spaghetti to boiling water in a pot.,3.6626,-0.0488,pesto pasta,0.4078,0.016867,0.016353,0.021847,0.02092,0.026762,0.016316,0.023391,0.020992,0.049223,0.066324,0.025101,0.040513,0.019718,0.029403,0.018742,0.407764,0.00617,0.015916,0.005531,0.009214,0.024262,0.016054,0.017084,0.000385,0.003298,0.014767,0.018336,0.028403,0.020341
3,answer,A cook folds pasta into the pesto.,2.2486,1.414,pesto pasta,0.7028,0.007473,0.006966,0.008265,0.008948,0.011288,0.006604,0.011189,0.009895,0.023583,0.026543,0.012043,0.01944,0.007329,0.012879,0.015309,0.702761,0.008587,0.017608,0.003471,0.005834,0.00916,0.006414,0.007531,0.00055,0.011207,0.006702,0.008479,0.01518,0.008763
4,observation,A cook pours pasta into a colander over the sink.,3.0556,-0.807,pesto pasta,0.5527,0.009922,0.008503,0.022904,0.010663,0.03084,0.00859,0.013335,0.013035,0.031569,0.029605,0.016499,0.024245,0.020313,0.016092,0.017385,0.552711,0.011998,0.025631,0.005238,0.00891,0.025474,0.018545,0.009459,0.000442,0.005566,0.018346,0.012737,0.018166,0.01328
4,answer_skipped,[dont_know] ,3.0556,0.0,pesto pasta,0.5527,0.009922,0.008503,0.022904,0.010663,0.03084,0.00859,0.013335,0.013035,0.031569,0.029605,0.016499,0.024245,0.020313,0.016092,0.017385,0.552711,0.011998,0.025631,0.005238,0.00891,0.025474,0.018545,0.009459,0.000442,0.005566,0.018346,0.012737,0.018166,0.01328
5,observation,A cook scoops green sauce into a bowl.,3.6903,-0.6347,pesto pasta,0.4166,0.018218,0.016662,0.030581,0.013581,0.040124,0.012403,0.018393,0.016628,0.032947,0.033586,0.022572,0.026836,0.025946,0.017306,0.020283,0.416555,0.018778,0.035262,0.007838,0.01095,0.024719,0.018243,0.011187,0.002128,0.007744,0.018619,0.017764,0.021959,0.042185
5,answer,A cook folds the pasta into the pesto.,3.3628,0.3275,pesto pasta,0.4935,0.015646,0.014148,0.022412,0.011616,0.029196,0.010596,0.016269,0.014876,0.029803,0.028731,0.020183,0.024062,0.019109,0.015386,0.021593,0.493459,0.021534,0.036884,0.007093,0.010766,0.018363,0.013494,0.009637,0.002291,0.010941,0.013782,0.015821,0.019626,0.032683
6,observation,A cook mixes spaghetti in a bowl using wooden spoons.,4.0273,-0.6645,pesto pasta,0.3359,0.02372,0.021015,0.031032,0.018283,0.02403,0.015991,0.024559,0.021767,0.04551,0.042994,0.034085,0.035165,0.025909,0.023416,0.028145,0.335932,0.018624,0.029592,0.010876,0.016919,0.025489,0.017956,0.01396,0.002119,0.010875,0.011827,0.026391,0.033148,0.030673
6,answer_skipped,[dont_know] ,4.0273,0.0,pesto pasta,0.3359,0.02372,0.021015,0.031032,0.018283,0.02403,0.015991,0.024559,0.021767,0.04551,0.042994,0.034085,0.035165,0.025909,0.023416,0.028145,0.335932,0.018624,0.029592,0.010876,0.016919,0.025489,0.017956,0.01396,0.002119,0.010875,0.011827,0.026391,0.033148,0.030673
