step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_no,NO: A cook pours cream into the skillet.,2.1245,2.4568,cacio e uova,0.3129,0.00074,0.001635,0.001236,0.000716,0.001257,0.000223,0.000636,0.000413,0.000928,0.00113,0.001208,4.7e-05,8.1e-05,3.8e-05,2.2e-05,0.167141,0.291601,0.210809,0.000232,0.000618,0.001214,0.001141,0.000951,1.1e-05,0.000315,0.000777,0.001097,0.000879,0.312902
2,observation,A cook shakes a pan of beans over a stove.,2.0772,0.0473,pea pesto pasta,0.3411,0.000648,0.001298,0.000908,0.00054,0.000894,0.000208,0.000468,0.00032,0.000647,0.000945,0.000979,3.2e-05,6.2e-05,2.8e-05,1.8e-05,0.155007,0.341106,0.188005,0.000463,0.000611,0.000914,0.001004,0.000908,2e-06,0.000876,0.000756,0.000859,0.000749,0.300745
2,answer_clarification_skipped,[polar_clarification_no] n,2.0772,0.0,pea pesto pasta,0.3411,0.000648,0.001298,0.000908,0.00054,0.000894,0.000208,0.000468,0.00032,0.000647,0.000945,0.000979,3.2e-05,6.2e-05,2.8e-05,1.8e-05,0.155007,0.341106,0.188005,0.000463,0.000611,0.000914,0.001004,0.000908,2e-06,0.000876,0.000756,0.000859,0.000749,0.300745
3,observation,A cook adds spaghetti to boiling water in a pot.,2.073,0.0042,pea pesto pasta,0.3112,0.000668,0.000645,0.000335,0.000319,0.000389,0.000242,0.000261,0.000243,0.000789,0.000742,0.000754,2.6e-05,2.4e-05,1.6e-05,1e-05,0.180147,0.311202,0.222821,0.000277,0.000501,0.000473,0.000537,0.000601,6e-06,0.00035,0.000308,0.000531,0.000866,0.275915
3,answer_no,NO: A cook cooks peas in the saucepan.,1.7047,0.3683,cacio e uova,0.4008,0.000942,0.00091,0.000486,0.000463,0.000565,0.000351,0.00038,0.000354,0.001146,0.001078,0.001096,3.8e-05,3.5e-05,2.3e-05,1.5e-05,0.261709,2.1e-05,0.323703,0.000402,0.00011,0.000688,0.000781,0.000873,8e-06,0.000509,0.000447,0.000772,0.001258,0.400837
4,observation,A cook pours pasta into a colander over the sink.,1.6607,0.044,cacio e uova,0.4233,0.000819,0.00017,0.000372,0.000343,0.000435,0.000284,0.000312,0.000307,0.001037,0.000882,0.001025,3.2e-05,2.7e-05,1.9e-05,1.2e-05,0.237139,1.6e-05,0.328724,0.000324,9.5e-05,0.000525,0.000647,0.000671,5e-06,0.000333,0.000366,0.000762,0.000988,0.423325
4,answer_no,NO: A cook cracks eggs into a mixing bowl.,1.1439,0.5168,spinach pesto pasta,0.5719,0.001426,0.000297,0.000648,0.000597,0.000756,0.000495,0.000543,0.000535,0.001805,0.001535,3.3e-05,5.6e-05,4.7e-05,3.3e-05,2e-05,0.412592,2.9e-05,0.571938,0.000564,0.000165,0.000914,0.001126,0.001168,1e-05,0.000579,0.000152,0.000186,0.001719,3.3e-05
5,observation,A cook scoops green sauce into a bowl.,1.0946,0.0493,spinach pesto pasta,0.634,0.001725,0.000558,0.000654,0.000506,0.000762,0.000464,0.000497,0.000423,0.001091,0.001162,3e-05,3.7e-05,4.4e-05,2.2e-05,1.6e-05,0.35156,3.1e-05,0.633992,0.000475,0.000104,0.000638,0.000827,0.000904,6.5e-05,0.001646,0.000121,0.000175,0.001376,9.7e-05
6,observation,A cook mixes spaghetti in a bowl using wooden spoons.,1.1287,-0.0341,spinach pesto pasta,0.5951,0.001631,0.000634,0.000598,0.000514,0.000292,0.000444,0.000489,0.000389,0.001052,0.001151,3.3e-05,3.4e-05,4.1e-05,2.2e-05,1.3e-05,0.389449,2.9e-05,0.59508,0.000476,9.5e-05,0.000588,0.000729,0.000814,6.3e-05,0.003403,0.000116,0.000186,0.00155,8.4e-05
