step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook grates pecorino into the mixing bowl.,3.5995,0.9818,cacio e pepe,0.1888,0.005651,0.007263,0.018533,0.006744,0.090658,0.002197,0.011928,0.016929,0.01023,0.188809,0.135802,0.011283,0.007988,0.007216,0.005582,0.008184,0.00819,0.005901,0.010434,0.009578,0.008226,0.004886,0.007321,0.000333,0.000227,0.027882,0.114553,0.170802,0.096668
3,observation,A cook slices meat into cubes on a cutting board.,3.5096,0.0899,carbonara,0.2631,0.024129,0.006682,0.010234,0.004496,0.025051,0.015471,0.00874,0.016651,0.011275,0.111575,0.263094,0.012292,0.028986,0.035659,0.021775,0.007376,0.009151,0.006852,0.004588,0.001798,0.038669,0.024811,0.006509,0.000542,0.000406,0.009767,0.245916,0.037554,0.009956
4,observation,A cook adjusts a gas stove knob to ignite the burner.,4.1356,-0.626,amatriciana pasta,0.1363,0.017386,0.008581,0.012172,0.005969,0.136289,0.011958,0.041054,0.013176,0.009984,0.064207,0.115614,0.037123,0.020385,0.087331,0.055528,0.006836,0.008075,0.006257,0.006216,0.00294,0.025584,0.065071,0.031192,0.000925,0.000548,0.053789,0.109219,0.035199,0.011392
5,observation,A cook stirs pancetta in a skillet with a wooden spoon.,3.7912,0.3444,carbonara,0.1847,0.009924,0.007148,0.01157,0.008603,0.141003,0.009646,0.023839,0.009072,0.009062,0.051936,0.184736,0.025683,0.018345,0.058392,0.032617,0.004225,0.003652,0.002908,0.010291,0.002693,0.017173,0.013309,0.00595,0.000767,0.000221,0.091515,0.142195,0.095325,0.0082
6,observation,A cook sprinkles red pepper flakes into a pan of sizzling meat.,3.6788,0.1124,amatriciana pasta,0.2353,0.010956,0.010918,0.012725,0.011346,0.235269,0.010567,0.026509,0.00454,0.004652,0.039056,0.165146,0.026045,0.009148,0.047353,0.029113,0.004793,0.00398,0.003185,0.014544,0.001708,0.017896,0.013958,0.007283,0.00055,0.000359,0.03784,0.12846,0.107792,0.014309
7,observation,A cook pours sauce over croutons in a skillet.,3.63,0.0488,amatriciana pasta,0.2825,0.008699,0.008043,0.021587,0.016553,0.28247,0.007785,0.027872,0.005968,0.00562,0.038067,0.136846,0.03482,0.013917,0.050095,0.032375,0.002753,0.004506,0.003605,0.018621,0.002281,0.009156,0.007206,0.004157,0.001215,0.000377,0.039278,0.105757,0.102789,0.007583
8,observation,A cook adds spaghetti to boiling water in a pot.,3.8295,-0.1995,amatriciana pasta,0.2274,0.010414,0.00984,0.022991,0.017463,0.2274,0.010189,0.030691,0.007578,0.009229,0.043411,0.143104,0.041469,0.014901,0.051329,0.032407,0.003948,0.006454,0.005228,0.020578,0.003566,0.011278,0.008783,0.005672,0.00097,0.000281,0.036974,0.111586,0.101209,0.011058
9,observation,A cook stirs the sauce in the skillet.,3.4953,0.3342,amatriciana pasta,0.3241,0.009304,0.009234,0.040916,0.014383,0.324069,0.009015,0.015952,0.004515,0.005662,0.05056,0.146528,0.034464,0.014774,0.056088,0.020346,0.002103,0.003746,0.003054,0.023305,0.002367,0.008712,0.006041,0.00356,0.001698,0.00025,0.02144,0.050068,0.112262,0.005583
10,observation,A cook pours water into a large pot.,3.6903,-0.1949,amatriciana pasta,0.2878,0.011181,0.011108,0.043682,0.016102,0.287825,0.010418,0.017841,0.005841,0.007403,0.053337,0.137099,0.037687,0.017094,0.059066,0.022067,0.004186,0.004716,0.003957,0.025375,0.003158,0.010866,0.007415,0.004531,0.002012,0.000264,0.023033,0.050522,0.111459,0.010756
