step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_skipped,[doesnt_apply] doesn't apply,4.5813,0.0,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook slices garlic cloves on a cutting board.,3.7206,0.8608,garlic oil pasta,0.1803,0.02816,0.130522,0.13396,0.071501,0.02196,0.014499,0.180296,0.005603,0.0048,0.002576,0.010928,0.005354,0.027362,0.025737,0.017168,0.001326,0.001872,0.001465,0.010815,0.00338,0.106667,0.071871,0.091254,5.5e-05,3.1e-05,0.009777,0.01137,0.008241,0.001451
2,answer,A cook puts olive oil in the skillet.,3.4212,0.2994,garlic oil pasta,0.189,0.002931,0.086927,0.123019,0.173056,0.007398,0.029391,0.188973,0.003161,0.002308,0.001607,0.004046,0.002501,0.046632,0.008333,0.008099,8.9e-05,9.9e-05,8.1e-05,0.025997,0.001542,0.087784,0.089077,0.095861,7.4e-05,2.4e-05,0.003683,0.003575,0.003649,8.6e-05
3,observation,A cook pours olive oil into a pan on the stove.,3.305,0.1162,garlic oil pasta,0.1955,0.008175,0.103138,0.120963,0.171786,0.006517,0.03467,0.195546,0.000883,0.000749,0.000527,0.001095,0.000796,0.052995,0.002011,0.001822,0.000195,0.000206,0.000169,0.031407,0.000492,0.083692,0.086656,0.091837,0.000422,3.2e-05,0.000975,0.001021,0.001015,0.000205
3,answer,A cook stirs garlic in the skillet.,3.1514,0.1536,arrabbiata pasta,0.1987,0.00512,0.10453,0.198699,0.194941,0.004779,0.015284,0.137322,0.000603,0.000537,0.000569,0.001243,0.000697,0.029097,0.001767,0.001711,0.000131,0.000127,0.00011,0.019534,0.000387,0.100728,0.103745,0.074907,0.000391,2.3e-05,0.000997,0.000796,0.001046,0.000178
4,observation,A cook sprinkles spices into a frying pan.,3.0926,0.0588,garlic oil pasta,0.214,0.005961,0.094912,0.202265,0.167996,0.00281,0.014329,0.214047,0.000925,0.000383,0.000527,0.000709,0.00111,0.02678,0.000977,0.002342,0.000275,0.000181,0.000157,0.020308,0.000283,0.088428,0.090837,0.059427,0.000616,4.9e-05,0.001332,0.001014,0.000697,0.000324
4,answer,A cook pours the tomato sauce.,2.8466,0.246,arrabbiata pasta,0.2924,0.016631,0.17442,0.29242,0.261409,0.005912,0.02701,0.064587,0.000533,0.000501,0.000345,0.00047,0.001313,0.049244,0.001173,0.001227,0.000186,0.000349,0.000327,0.017376,0.000356,0.029323,0.030245,0.020401,0.002152,5.4e-05,0.000735,0.000615,0.000441,0.000244
5,observation,A cook adds garlic to the skillet and stirs it in.,3.0965,-0.2498,puttanesca pasta,0.2548,0.011627,0.132414,0.234317,0.254782,0.009083,0.020914,0.105221,0.00093,0.000861,0.000684,0.000917,0.00217,0.032134,0.001894,0.002599,0.000331,0.00034,0.000313,0.023503,0.000668,0.059902,0.058027,0.040835,0.001863,9.4e-05,0.001228,0.001087,0.000856,0.000408
