step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
1,answer_yes,A cook pours cream into the skillet.,3.3318,1.2495,alfredo pasta,0.2912,0.004504,0.008964,0.022808,0.018427,0.022347,0.006068,0.015519,0.019345,0.023087,0.010231,0.011063,0.291166,0.114983,0.224677,0.110182,0.003306,0.00486,0.003652,0.006026,0.01629,0.014564,0.00834,0.006205,0.000193,1.1e-05,0.010718,0.009134,0.008103,0.005226
2,observation,A cook melts butter in a pan on the stove.,3.8593,-0.5275,butter parmesan pasta,0.2437,0.025694,0.026032,0.007069,0.005927,0.009419,0.003818,0.036167,0.015064,0.24372,0.018473,0.028493,0.122589,0.023494,0.096256,0.051015,0.007367,0.009392,0.007208,0.004047,0.11343,0.004727,0.023981,0.019279,0.000412,1.3e-05,0.039101,0.024727,0.022938,0.01015
2,answer_no,NO: A cook adds frozen peas to the skillet.,2.7873,1.072,butter parmesan pasta,0.4336,0.045713,0.046314,0.012576,0.000614,0.001263,0.006792,0.064345,0.0268,0.433606,0.032866,0.003767,0.218099,0.041799,0.013375,0.000612,0.013106,0.000167,0.000848,0.000534,0.00136,0.000537,0.003069,0.001484,0.000733,2.3e-05,0.005242,0.003269,0.003032,0.018057
3,observation,A cook pours milk into a skillet.,2.6002,0.1871,alfredo pasta,0.518,0.01713,0.017261,0.008456,0.000424,0.000788,0.004706,0.024222,0.057809,0.110586,0.04653,0.001443,0.517982,0.105055,0.03244,0.001443,0.017359,0.00022,0.001131,0.001308,0.000368,0.000388,0.001131,0.000558,0.001923,4.6e-05,0.001837,0.001378,0.001159,0.024919
4,observation,A cook stirs the mixture in the skillet.,2.8369,-0.2368,alfredo pasta,0.462,0.019918,0.027641,0.026283,0.00112,0.001735,0.009177,0.025519,0.019562,0.084393,0.063966,0.002603,0.462003,0.154074,0.026979,0.001735,0.02172,0.000184,0.001188,0.003354,0.000358,0.001026,0.001547,0.000695,0.002741,0.000217,0.002524,0.001668,0.001908,0.034163
4,answer_no,NO: A cook chops onion on a cutting board.,1.8687,0.9682,alfredo pasta,0.651,0.000189,0.000262,0.000788,0.000577,0.001158,8.7e-05,0.000766,0.027564,0.118912,0.090131,0.001762,0.650979,0.001463,0.013118,0.002444,0.030604,0.000259,0.001673,0.002577,0.000504,0.000482,0.000645,0.000482,2.6e-05,0.000306,0.001685,0.001129,0.001291,0.048137
5,observation,A cook adds spaghetti to boiling water in a pot.,1.8094,0.0594,alfredo pasta,0.6522,0.000188,0.000237,0.000717,0.000527,0.000505,0.000105,0.000779,0.035103,0.152343,0.03708,0.000717,0.652206,0.00105,0.009686,0.001714,0.035834,0.000397,0.00204,0.002199,0.000623,0.000478,0.000571,0.000452,2e-05,0.00025,0.001152,0.001039,0.00064,0.061348
6,observation,A cook pours water into a large pot.,1.9992,-0.1898,alfredo pasta,0.5979,0.000237,0.000286,0.000957,0.000696,0.00074,0.000142,0.000944,0.044097,0.17035,0.047138,0.000963,0.597908,0.001092,0.009237,0.001629,0.041766,0.000458,0.002453,0.002511,0.000699,0.000651,0.000719,0.000567,2.9e-05,0.000368,0.001351,0.001276,0.000896,0.069842
